shooto_fighter_id,name_kanji,name_romaji,gym,weight_class_label,last_result_date,source_url,url_contains_romaji,slug_candidate_from_romaji_TABLE_TEXT_NOT_URL,mnews_fighters_ts_match_via_findFighterSlugByName,is_required_60_missing,is_required_19_listed
1802,通事 安朋,,THE BLACKBELT JAPAN,キッズ・ジュニア修斗A,2025-10-19,https://www.shooto-mma.com/fighters/?id=1802,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1803,河上 純登,,THE BLACKBELT JAPAN,キッズ・ジュニア修斗A,2025-09-02,https://www.shooto-mma.com/fighters/?id=1803,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1804,筒井 拓登,,BURST,キッズ・ジュニア修斗A,2025-04-20,https://www.shooto-mma.com/fighters/?id=1804,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
781,クリス ブレナン,Chris Brennan,,ライト級 [ -70.3 Kg ]A,2002-09-16,https://www.shooto-mma.com/fighters/?id=781,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",chris-brennan,,,
1805,齋藤 大樹,,ピロクテテス新潟,フライ級 [ -56.7 Kg ]A,2025-11-22,https://www.shooto-mma.com/fighters/?id=1805,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
782,レオ サントス,Leonardo Santos,ノヴァ・ウニオン,ライト級 [ -70.3 Kg ]A,2002-06-29,https://www.shooto-mma.com/fighters/?id=782,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",leonardo-santos,,,
1806,塩野谷 容大,,ファイティングラボ新潟,フライ級 [ -56.7 Kg ]A,2026-04-05,https://www.shooto-mma.com/fighters/?id=1806,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
783,ポール ロドリゲス,Pail Rodriguez,,ライト級 [ -70.3 Kg ]A,2000-07-16,https://www.shooto-mma.com/fighters/?id=783,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",pail-rodriguez,,,
785,ステファン パーリング,Stephen Palling,,フェザー級 [ -65.8 Kg ]A,2004-05-03,https://www.shooto-mma.com/fighters/?id=785,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",stephen-palling,,,
1809,パク ジョンジュン,JONG JUN PARK,Team Geek MMA,フェザー級 [ -65.8 Kg ]A,2025-05-25,https://www.shooto-mma.com/fighters/?id=1809,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",jong-jun-park,,YES,
1812,小池 翔,SHO,誠空会,キックボクシングA,2025-05-25,https://www.shooto-mma.com/fighters/?id=1812,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",sho,,,
789,アンデウソン シウバ,Anderson Silva,,ウェルター級 [ -77.1 Kg ]A,2001-08-26,https://www.shooto-mma.com/fighters/?id=789,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",anderson-silva,,,
790,フランク トリッグ,Frank Trigg,,ウェルター級 [ -77.1 Kg ]A,2000-12-17,https://www.shooto-mma.com/fighters/?id=790,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",frank-trigg,,,
1814,THE ROCK MFC,THE ROCK MFC,MFC MUAY THAI FIGHTER CLUB,キックボクシングA,2025-05-25,https://www.shooto-mma.com/fighters/?id=1814,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",the-rock-mfc,,,
791,ルイス アゼレド,Luiz Azeredo,,ウェルター級 [ -77.1 Kg ]A,2000-08-04,https://www.shooto-mma.com/fighters/?id=791,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",luiz-azeredo,,,
1815,フィルダウス フェイジエフ,FIRDAVS FAYZIEV,マスタージャパン ウズベキスタン,A,2025-05-18,https://www.shooto-mma.com/fighters/?id=1815,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",firdavs-fayziev,,,
793,マセロ アグア,Marcelo Aguiar,,ウェルター級 [ -77.1 Kg ]A,,https://www.shooto-mma.com/fighters/?id=793,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",marcelo-aguiar,,,
1818,平 賢二郎,,ロータス福岡古賀道場,フライ級 [ -56.7 Kg ]A,2025-05-11,https://www.shooto-mma.com/fighters/?id=1818,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
797,アレックス クック,Alex Cook,,ウェルター級 [ -77.1 Kg ]A,,https://www.shooto-mma.com/fighters/?id=797,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",alex-cook,,,
1821,山口 カケル,,TEAM BANANA,バンタム級 [ -61.2 Kg ]A,2025-05-11,https://www.shooto-mma.com/fighters/?id=1821,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1822,河野 慶樹,,柔術&MMAアカデミーG-face,バンタム級 [ -61.2 Kg ]A,2025-05-11,https://www.shooto-mma.com/fighters/?id=1822,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1823,はやぶさ,,MMA RANGERS GYM,ライト級 [ -70.3 Kg ]A,2025-05-11,https://www.shooto-mma.com/fighters/?id=1823,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1824,大地,,有永道場Team Resolve,ライト級 [ -70.3 Kg ]A,2026-05-17,https://www.shooto-mma.com/fighters/?id=1824,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
801,ジェフ カーラン,Jeff Curran,,フェザー級 [ -65.8 Kg ]A,2003-05-09,https://www.shooto-mma.com/fighters/?id=801,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",jeff-curran,,,
1825,平尾 大和,,KAMIKAZE DOJO MMA,ウェルター級 [ -77.1 Kg ]A,2026-05-17,https://www.shooto-mma.com/fighters/?id=1825,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1827,佐野 光輝,,グラップラーズギルド,ストロー級 [ -52.2 Kg ]A,2026-06-28,https://www.shooto-mma.com/fighters/?id=1827,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1828,井上 滉人,,MMA IKUSU,バンタム級 [ -61.2 Kg ]A,2026-07-12,https://www.shooto-mma.com/fighters/?id=1828,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1829,皇治,KOJI,,A,2025-05-18,https://www.shooto-mma.com/fighters/?id=1829,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",koji,kouzi,,
809,ジョン ホーキ,Joao Roque,ノヴァ・ウニオン,フェザー級 [ -65.8 Kg ]A,2005-03-11,https://www.shooto-mma.com/fighters/?id=809,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",joao-roque,,,
811,ペル エクルンド,Per Eklund,,ライト級 [ -70.3 Kg ]A,2006-10-14,https://www.shooto-mma.com/fighters/?id=811,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",per-eklund,,,
1843,KOKI,,MMA RANGERS GYM,バンタム級 [ -61.2 Kg ]A,2025-06-22,https://www.shooto-mma.com/fighters/?id=1843,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
821,カルロス アレッシャンドリ ペレイラ,Carlos Alexandre,ドラゴンファイトチーム,ウェルター級 [ -77.1 Kg ]A,2010-08-07,https://www.shooto-mma.com/fighters/?id=821,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",carlos-alexandre,,,
1845,森本 健介,,毛利道場,バンタム級 [ -61.2 Kg ]A,2026-05-17,https://www.shooto-mma.com/fighters/?id=1845,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1847,深町 拓海,,グラップラーズギルド,フェザー級 [ -65.8 Kg ]A,2026-07-12,https://www.shooto-mma.com/fighters/?id=1847,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1848,SOKO,,有永道場 Team Resolve,ミドル級 [ -83.9 Kg ]A,2026-05-17,https://www.shooto-mma.com/fighters/?id=1848,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
830,エルナニ ペルペトゥオ,Hernani Perpetuo,ノヴァ・ウニオン,ウェルター級 [ -77.1 Kg ]A,2013-08-25,https://www.shooto-mma.com/fighters/?id=830,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",hernani-perpetuo,,YES,
319,ヴィラミー シケリム,Willamy Chiquerim,ノヴァ・ウニオン,ライト級 [ -70.3 Kg ]A,2010-05-30,https://www.shooto-mma.com/fighters/?id=319,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",willamy-chiquerim,,,
1856,藤井 愛斗,,パラエストラ小岩,フライ級 [ -56.7 Kg ]A,2025-08-31,https://www.shooto-mma.com/fighters/?id=1856,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1857,塩津 奏太,SHIOTSU SOTA,心技館,フェザー級 [ -65.8 Kg ]A,2026-05-31,https://www.shooto-mma.com/fighters/?id=1857,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",shiotsu-sota,,,
1858,清水 和也,,アルンジム,A,2025-08-31,https://www.shooto-mma.com/fighters/?id=1858,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1859,彬大,,roots,バンタム級 [ -61.2 Kg ]A,2026-04-19,https://www.shooto-mma.com/fighters/?id=1859,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1860,大貫 瑠夏,,,A,2025-08-31,https://www.shooto-mma.com/fighters/?id=1860,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1861,渡邉 陽大,,ブレイブハート,A,2025-08-31,https://www.shooto-mma.com/fighters/?id=1861,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1862,井上 颯人,,心技館,フライ級 [ -56.7 Kg ]A,2026-04-05,https://www.shooto-mma.com/fighters/?id=1862,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1863,福島 祐貴,,BURST,フライ級 [ -56.7 Kg ]A,2026-07-12,https://www.shooto-mma.com/fighters/?id=1863,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
841,トミー デプレット,Tommy Depret,,ウェルター級 [ -77.1 Kg ]A,2013-08-25,https://www.shooto-mma.com/fighters/?id=841,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",tommy-depret,,,
1867,於久 孝充,,G-FREE,フライ級 [ -56.7 Kg ]A,2026-04-26,https://www.shooto-mma.com/fighters/?id=1867,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
588,デニス ホールマン,Dennis Hallman,,ライト級 [ -70.3 Kg ]A,2000-04-02,https://www.shooto-mma.com/fighters/?id=588,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",dennis-hallman,,,
1868,山口 裕也,,柔術兄弟,ライト級 [ -70.3 Kg ]A,2025-09-07,https://www.shooto-mma.com/fighters/?id=1868,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
589,ディン トーマス,Din Thomas,アメリカントップチーム,ライト級 [ -70.3 Kg ]A,,https://www.shooto-mma.com/fighters/?id=589,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",din-thomas,,,
1870,弥益 ドミネーター 聡志,,team SOS,ライト級 [ -70.3 Kg ]A,2025-09-02,https://www.shooto-mma.com/fighters/?id=1870,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1871,デウジヴァン・ソウザ,,GRANOLA JIUJITSU TEAM,フライ級 [ -56.7 Kg ]A,2025-09-02,https://www.shooto-mma.com/fighters/?id=1871,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1872,窪田 登馬,,Splicing,キッズ・ジュニア修斗A,2025-09-02,https://www.shooto-mma.com/fighters/?id=1872,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1875,砂辺 光久,,reversaL Gym OKINAWA CROSS×LINE,フライ級 [ -56.7 Kg ]A,2026-04-19,https://www.shooto-mma.com/fighters/?id=1875,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,YES,
1876,髙松 一喜,,TOKYO INSTITUTE,キッズ・ジュニア修斗A,2025-10-19,https://www.shooto-mma.com/fighters/?id=1876,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1883,近藤 世里菜,,総合格闘技道場ARMS,女子A,2025-10-26,https://www.shooto-mma.com/fighters/?id=1883,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1884,新谷 幸輝,,TEAM AGENT,キッズ・ジュニア修斗A,2025-10-26,https://www.shooto-mma.com/fighters/?id=1884,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
614,ジェシアス カバウカンチ,Gesias Cavalcante,,ライト級 [ -70.3 Kg ]A,2004-07-16,https://www.shooto-mma.com/fighters/?id=614,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",gesias-cavalcante,,,
876,ゴンズイ,Gonzui,総合格闘技ゴンズジム,ウェルター級 [ -77.1 Kg ]A,2005-06-03,https://www.shooto-mma.com/fighters/?id=876,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",gonzui,,,
887,ロナルド ジューン,Ronald Jhun,ジーザスイズロード,ウェルター級 [ -77.1 Kg ]A,2006-07-21,https://www.shooto-mma.com/fighters/?id=887,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",ronald-jhun,,,
901,ダニエル リマ,Daniel Lima,ファイブ・リングス・ドージョー,バンタム級 [ -61.2 Kg ]A,2007-09-22,https://www.shooto-mma.com/fighters/?id=901,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",daniel-lima,,,
1940,吉澤 ジョアン 英司,,心技館,A,2026-04-05,https://www.shooto-mma.com/fighters/?id=1940,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1941,駒沢 伊月,,SAI-GYM,A,2026-04-05,https://www.shooto-mma.com/fighters/?id=1941,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1942,中西 敦也,,ASH,A,2026-04-05,https://www.shooto-mma.com/fighters/?id=1942,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1943,Ken,,SAI-GYM,A,2026-04-05,https://www.shooto-mma.com/fighters/?id=1943,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
677,ブライアン コブ,Brian Cobb,,ライト級 [ -70.3 Kg ]A,2007-08-18,https://www.shooto-mma.com/fighters/?id=677,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",brian-cobb,,,
1957,西村 良太,,正道会館菱川道場,フェザー級 [ -65.8 Kg ]A,2026-04-26,https://www.shooto-mma.com/fighters/?id=1957,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
934,エリック パーソン,Erik Paulson,,ミドル級 [ -83.9 Kg ]A,,https://www.shooto-mma.com/fighters/?id=934,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",erik-paulson,,,
1958,植村 天翔,,MIBURO,A,2026-04-26,https://www.shooto-mma.com/fighters/?id=1958,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1961,今井 大暢,,FIGHT FARM,A,2026-05-17,https://www.shooto-mma.com/fighters/?id=1961,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1962,雑賀 晴士,,パラエストラTB,フェザー級 [ -65.8 Kg ]A,2026-05-17,https://www.shooto-mma.com/fighters/?id=1962,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1963,小柳 竜星,,HAGANE GYM,A,2026-05-17,https://www.shooto-mma.com/fighters/?id=1963,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1964,大川 夏生,,パラエストラ小岩,バンタム級 [ -61.2 Kg ]A,2026-05-17,https://www.shooto-mma.com/fighters/?id=1964,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1980,勝者,,,A,,https://www.shooto-mma.com/fighters/?id=1980,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1747,大西 佑磨,,総合格闘技ゴンズジム,フェザー級 [ -65.8 Kg ]A,2026-04-26,https://www.shooto-mma.com/fighters/?id=1747,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1748,片岡 雄大,,修斗GYM大阪,フェザー級 [ -65.8 Kg ]A,2024-09-29,https://www.shooto-mma.com/fighters/?id=1748,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1749,岩橋 拓哉,,28,フライ級 [ -56.7 Kg ]A,2024-09-29,https://www.shooto-mma.com/fighters/?id=1749,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1750,継谷 碧,,修斗GYM神戸,フライ級 [ -56.7 Kg ]A,2024-09-29,https://www.shooto-mma.com/fighters/?id=1750,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1755,水嶋 敬志,,THE BLACKBELT JAPAN,バンタム級 [ -61.2 Kg ]A,2026-04-19,https://www.shooto-mma.com/fighters/?id=1755,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1756,濱口 浩大,,BURST,ストロー級 [ -52.2 Kg ]A,2024-11-10,https://www.shooto-mma.com/fighters/?id=1756,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1760,山下 康一郎,,CARPEDIEM,ライト級 [ -70.3 Kg ]A,2025-07-13,https://www.shooto-mma.com/fighters/?id=1760,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1761,佐藤 りの,,毛利道場,キッズ・ジュニア修斗A,2024-11-17,https://www.shooto-mma.com/fighters/?id=1761,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1762,近藤 玲汰,,BURST,キッズ・ジュニア修斗A,2024-11-17,https://www.shooto-mma.com/fighters/?id=1762,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
740,ヒカルド リッキー ボテーリョ,Ricardo Botelho,,ライト級 [ -70.3 Kg ]A,,https://www.shooto-mma.com/fighters/?id=740,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",ricardo-botelho,,,
2021,リン フーシュン,,i Fighting,A,2026-06-01,https://www.shooto-mma.com/fighters/?id=2021,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1766,一回戦①の勝者,,,A,,https://www.shooto-mma.com/fighters/?id=1766,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
2022,ジョー バード,,Hawaii Elite MMA,A,2026-06-01,https://www.shooto-mma.com/fighters/?id=2022,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1767,一回戦②の勝者,,,A,,https://www.shooto-mma.com/fighters/?id=1767,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1770,チョン チャヒョン,CHAH YUN,韓国・ユンジュチーム,ストロー級 [ -52.2 Kg ]A,2024-12-15,https://www.shooto-mma.com/fighters/?id=1770,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",chah-yun,,,
1771,小笠原 颯希,,X-TREME EBINA,A,2024-12-15,https://www.shooto-mma.com/fighters/?id=1771,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1772,遠藤 ジュリアン 桜,,リバーサルジム立川ALPHA,A,2026-01-18,https://www.shooto-mma.com/fighters/?id=1772,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
237,アレッシャンドリ フランカ ノゲイラ,Alexandre Nogueira,修斗ブラジル道場,フェザー級 [ -65.8 Kg ]A,2005-03-11,https://www.shooto-mma.com/fighters/?id=237,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",alexandre-nogueira,,,
238,アントニオ カルバーリョ,Antonio Carvalho,シャオ・フランコMA,フェザー級 [ -65.8 Kg ]A,2007-11-08,https://www.shooto-mma.com/fighters/?id=238,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",antonio-carvalho,,,
752,フィンセント ラトゥール,Vincent Latoel,,ライト級 [ -70.3 Kg ]A,2009-08-27,https://www.shooto-mma.com/fighters/?id=752,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",vincent-latoel,,,
1777,サカイロック,,ALMA FIGHT GYM SHUKO,フェザー級 [ -65.8 Kg ]A,2024-04-29,https://www.shooto-mma.com/fighters/?id=1777,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1778,TAKUMI,,Bushi-Doo武士道,ストロー級 [ -52.2 Kg ]A,2026-04-05,https://www.shooto-mma.com/fighters/?id=1778,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
757,レイ クーパー,Ray Cooper,ジーザスイズロード,ライト級 [ -70.3 Kg ]A,2005-05-04,https://www.shooto-mma.com/fighters/?id=757,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",ray-cooper,,,
1786,田中 和広,,SISU MMA &BJJ,A,2025-09-07,https://www.shooto-mma.com/fighters/?id=1786,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1788,ISODA,,直心会生野道場TK68,フェザー級 [ -65.8 Kg ]A,2026-04-26,https://www.shooto-mma.com/fighters/?id=1788,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
1789,北原 蓮,,修斗GYM神戸,ライト級 [ -70.3 Kg ]A,2025-04-13,https://www.shooto-mma.com/fighters/?id=1789,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",,,,
510,ホビソン モウラ,Robson Moura,ノヴァ・ウニオン,フライ級 [ -56.7 Kg ]A,2004-09-26,https://www.shooto-mma.com/fighters/?id=510,"NO (numeric id only, confirmed across all 27 weight-class listing pages + all=1 full listing; consistent with PR #234)",robson-moura,,,
