org,階級,出場回数,name_mnews,qid,label_ja,sherdog_id,match_confidence
deep,DEEP 60kg以下 3分3R KICKルール,1,平田大地,,,,none
deep,DEEP 62.5kg以下 3分3R KICKルール,1,久留拓磨,,,,none
deep,DEEP 62.5kg以下 3分3R KICKルール,1,仁,,,,none
deep,DEEP 62kg以下2分3R アマチュアKICKルール,1,熊谷輝彦,,,,none
deep,DEEP 62kg以下2分3R アマチュアKICKルール,1,金城壮志,,,,none
deep,DEEP 60kg以下 2分3R アマチュアKICKルール,1,津島忠彦,,,,none
deep,DEEP 60kg以下 2分3R アマチュアKICKルール,1,中村大和,,,,none
deep,DEEP JEWELS ストロー級 2分2R アマチュアKICKルール,1,比企那菜実,,,,none
deep,DEEP JEWELS ストロー級 2分2R アマチュアKICKルール,1,AKINA,,,,none
deep,DEEP JEWELSフライ級タイトルマッチ 5分3R,1,中井りん,Q3242787,中井りん,18887,exact
deep,DEEP JEWELSフライ級タイトルマッチ 5分3R,1,奥富夕夏,,,,none
deep,DEEP JEWELS 49kg以下 5分3R,3,竹林エル,,,,none
deep,DEEP JEWELSストロー級 5分3R,2,ののか,,,,none
deep,DEEP JEWELSストロー級 5分3R,1,キム・ソユル,,,,none
deep,DEEP JEWELSストロー級 5分2R,3,桐生祐子,,,,none
deep,DEEP JEWELSストロー級 5分2R,3,月井隼南,,,,none
deep,DEEP JEWELS 49kg以下 5分2R,2,彩綺,,,,none
deep,DEEP JEWELS 49kg以下 5分2R,3,abbie,,,,none
deep,DEEP JEWELS 65kg以下 5分2R,4,樹季,,,,none
deep,DEEP JEWELS 65kg以下 5分2R,1,Te-a,,,,none
deep,DEEP JEWELSミクロ級 5分2R,1,古林礼名,Q118726934,古林礼名,,exact
deep,DEEP JEWELSミクロ級 5分2R,3,大井すず,Q136338017,大井すず,472119,exact
deep,DEEP JEWELS 53kg以下 5分2R,4,SAAYA,,,,none
deep,DEEP JEWELS 58kg以下 5分2R,2,鈴木”BOSS”遥,,,,none
deep,DEEP JEWELS 58kg以下 5分2R,2,田川真帆,,,,none
deep,DEEP JEWELS 60kg以下 5分2R,2,JUICY,,,,none
deep,DEEP JEWELS 60kg以下 5分2R,1,うらら,,,,none
deep,DEEP JEWELS 50kg以下 3分2R アマチュアSルール,3,山吹マリン,,,,none
deep,DEEP JEWELS 50kg以下 3分2R アマチュアSルール,4,谷山心優,,,,none
deep,DEEP JEWELSストロー級 3分2R アマチュアSルール,4,あきぴ,,,,none
deep,DEEP JEWELSストロー級 3分2R アマチュアSルール,3,村松美直,,,,none
deep,DEEP JEWELSストロー級 3分2R アマチュアSルール,1,愛温,,,,none
deep,DEEP JEWELSストロー級 3分2R アマチュアSルール,1,山内梨緒,,,,none
deep,DEEP JEWELS 49kg 以下 3分2R アマチュアSルール,3,横江明日香,,,,none
deep,DEEP JEWELS 49kg 以下 3分2R アマチュアSルール,1,デスティニー,,,,none
deep,DEEPフェザー級 5分3R,3,高橋遼伍,Q126005793,高橋遼伍,84427,exact
deep,DEEPメガトン級 5分3R,1,長谷川賢,Q55536786,長谷川賢,76908,exact
deep,DEEPメガトン級 5分3R,3,ブラックタイガー,,,,none
deep,DEEPフェザー級 5分2R,2,カンジ,,,,none
deep,DEEPフェザー級 5分2R,2,KINNO,,,,none
deep,DEEPバンタム級 5分2R,3,黒岡裕真,,,,none
deep,DEEPバンタム級 5分2R,2,笹崎健司,,,,none
deep,DEEPバンタム級 5分2R,3,坂本岳,,,,none
deep,DEEPバンタム級 5分2R,1,ハム・ギワン,,,,none
deep,DEEPフライ級 5分2R,2,仁井田右楽,,,,none
deep,DEEPフライ級 5分2R,5,廣瀬裕斗,,,,none
deep,DEEP 60kg以下 5分2R,1,渡邉龍太郎,,,,none
deep,DEEP 60kg以下 5分2R,1,キンジ,,,,none
deep,DEEPフェザー級 5分2R,1,ガブリエル,,,,none
deep,DEEPフェザー級 5分2R,1,尚太郎,,,,none
deep,DEEPウェルター級 3分2R アマチュアSルール,2,TAKUMA,,,,none
deep,DEEPウェルター級 3分2R アマチュアSルール,1,猿丸凛太朗,,,,none
deep,DEEPフライ級 3分2R アマチュアSルール,3,菊間瑛太,,,,none
deep,DEEPフライ級 3分2R アマチュアSルール,1,小嵐翔真,,,,none
deep,DEEPストロー級タイトルマッチ 5分3R,3,知名昴海,,,,none
deep,DEEPフライ級 3分2R アマチュアSルール,1,今野連弥,,,,none
deep,DEEPフライ級 3分2R アマチュアSルール,1,武井大将,,,,none
deep,DEEPフライ級 3分2R アマチュアSルール,1,ショウエイ,,,,none
deep,DEEPフライ級 3分2R アマチュアSルール,1,矢代光,,,,none
deep,DEEPフェザー級 5分3R,1,森俊樹,,,,none
deep,DEEPフェザー級 5分2R,1,中村雄一,,,,none
deep,DEEPバンタム級 5分2R,2,堂園悠,,,,none
deep,DEEPバンタム級 5分2R,2,唐沢タツヤ,,,,none
deep,DEEPフライ級 5分2R,2,橋本優大,,,,none
deep,DEEPフライ級 5分2R,1,コビー・レオン,,,,none
deep,DEEPフライ級 5分2R,2,安永吏成,,,,none
deep,DEEPフライ級 5分2R,1,高橋健斗,,,,none
deep,DEEPライト級 5分2R,2,トミー渡部,,,,none
deep,DEEPライト級 5分2R,2,井上竜旗,,,,none
deep,DEEPバンタム級 5分2R,3,寉岡樹記,,,,none
deep,DEEPフェザー級 5分2R,2,藤井連,,,,none
deep,DEEPフェザー級 5分2R,1,山田葵生,,,,none
deep,DEEP 64kg以下 3分2R アマチュアSルール,3,佐藤聖優,,,,none
deep,DEEP 64kg以下 3分2R アマチュアSルール,1,サンシャイン,,,,none
deep,DEEP 58kg以下 3分2R アマチュアSルール,1,ごとう瑠海,,,,none
deep,DEEPフライ級 3分2R アマチュアSルール,2,谷口仁歩,,,,none
deep,DEEPバンタム級3分2RアマチュアSルール,3,高尾凌生,,,,none
deep,DEEPバンタム級3分2RアマチュアSルール,1,河島ノブヒデ,,,,none
deep,DEEPフライ級 5分3R,2,濱口奏琉,,,,none
deep,DEEPフライ級 5分2R,1,松場貴志,Q121355278,松場貴志,129427,exact
deep,DEEPフライ級 5分2R,2,松原聖也,,,,none
deep,DEEPフェザー級 5分2R,1,岩本達彦,,,,none
deep,DEEPフェザー級 5分2R,3,藤田宇宙,,,,none
deep,DEEPバンタム級 5分2R,2,木下竜馬,,,,none
deep,DEEPバンタム級 5分2R,2,福田泰暉,,,,none
deep,DEEP JEWELS 50kg以下 5分2R,1,あー子,,,,none
deep,DEEPフェザー級 5分2R,2,瀧口脩生,,,,none
deep,DEEPフェザー級 5分2R,2,田中壱季,,,,none
deep,DEEPフェザー級 5分2R,1,井康勢,,,,none
deep,DEEP JEWELSストロー級 3分2R アマチュアSPルール,2,大西未来,,,,none
deep,DEEP JEWELS 49kg以下 5分3R,1,HIME,,,,none
deep,セミファイナル DEEPストロー級 5分2R,3,武蔵,,,,none
deep,DEEPフライ級 5分2R,2,太一,,,,none
deep,DEEPライト級 5分2R,3,今村豊,,,,none
deep,DEEP JEWELSバンタム級5分2R,1,MANA,,,,none
deep,DEEP JEWELSバンタム級5分2R,1,中尾あづき,,,,none
deep,DEEPライト級 5分2R,3,ベンジャミン,,,,none
deep,DEEPライト級 5分2R,1,武蔵坊慶輔,,,,none
deep,DEEPフライ級 5分2R,2,米原剛希,,,,none
deep,DEEP 97kg以下 5分2R,2,西川将輝,,,,none
deep,DEEP 97kg以下 5分2R,2,アモリン,,,,none
deep,DEEP JEWELS 68kg以下5分2R,2,ぽちゃんZ,,,,none
deep,DEEP JEWELS 68kg以下5分2R,2,Bobo飛鳥,,,,none
deep,DEEP JEWELSフェザー級5分2R,2,近藤世里菜,,,,none
deep,DEEP メガトン級 3分2RアマチュアSルール,2,佐藤勇真,,,,none
deep,DEEPフライ級 3分2R アマチュアSルール,2,朝井啓太,,,,none
deep,DEEPフライ級 3分2R アマチュアSルール,1,杉映都,,,,none
deep,DEEP JEWELSバンタム級王者決定戦 5分3R,1,百湖,,,,none
deep,DEEP JEWELSストロー級 5分3R,1,万智,,,,none
deep,DEEP JEWELSストロー級 5分3R,1,キム・ダンビ,,,,none
deep,DEEP JEWELS 49kg以下 5分2R,1,海咲イルカ,,,,none
deep,DEEP JEWELSストロー級 5分2R,3,堀井かりん,,,,none
deep,DEEP JEWELS ストロー級 5分2R,3,横瀬友愛,,,,none
deep,DEEP JEWELS ストロー級 5分2R,2,岡美紀,,,,none
deep,DEEP JEWELSストロー級 2分2R KICKルール,1,坂本瑠華,,,,none
deep,DEEP JEWELSストロー級 2分2R KICKルール,1,ダイナマイト♡ユラ,,,,none
deep,DEEP JEWELS 50kg以下 2分2R KICKルール,1,島村優花,,,,none
deep,DEEP JEWELS 50kg以下 2分2R KICKルール,1,中澤諒香,,,,none
deep,DEEP JEWELS 49kg以下 3分2R アマチュアSルール,1,村井成美,,,,none
deep,DEEP JEWELSストロー級 3分2R アマチュアSルール,2,ちゃんりな,,,,none
deep,DEEP JEWELS 50kg以下 3分2R アマチュアSルール,3,せりな,,,,none
deep,DEEP JEWELS 50kg以下 3分2R アマチュアSルール,1,山岸佳音,,,,none
deep,DEEP JEWELSフライ級3分2R アマチュアSルール,1,たから,,,,none
deep,DEEPフェザー級 5分3R,2,関鉄矢,Q105704467,関鉄矢,153571,exact
deep,DEEPフェザー級 5分3R,2,黒井海成,Q112239204,黒井海成,,exact
deep,DEEP 55kg以下 5分2R,2,中務修良,Q112239333,中務修良,282783,exact
deep,DEEPフライ級 5分2R,1,御代川敏志,,,,none
deep,DEEPフライ級 5分2R,1,吉田悠太郎,,,,none
deep,DEEPライト級 5分2R,1,ウラケン,,,,none
deep,DEEＰフライ級 5分2R,1,平井聡一朗,,,,none
deep,DEEＰフライ級 5分2R,2,石井涼馬,,,,none
deep,DEEPバンタム級 5分2R,2,西山亮翔,,,,none
deep,DEEPバンタム級 5分2R,1,小林よしずみ,,,,none
deep,DEEPバンタム級 3分2R アマチュアSルール,2,小笠原孝成,,,,none
deep,DEEPバンタム級 3分2R アマチュアSルール,2,須山豪,,,,none
deep,DEEPストロー級 3分2R アマチュアSルール,1,Michael北見,,,,none
deep,DEEPバンタム級 5分2R,3,吉田陸,,,,none
deep,DEEPバンタム級 5分2R,3,脇田仁,,,,none
deep,DEEPライト級 5分2R,2,藤岡陸,,,,none
deep,DEEPライト級 5分2R,1,田中慎一郎,,,,none
deep,DEEPライト級 5分2R,2,平澤克明,,,,none
deep,DEEPバンタム級 3分2R アマチュアSルール,1,小澤亮太,,,,none
deep,DEEPバンタム級 3分2R アマチュアSルール,1,加藤颯,,,,none
deep,DEEPライトヘビー級 5分2R,1,勇太,,,,none
deep,DEEPフライ級 5分2R,3,大岩翔哉,,,,none
deep,DEEPフライ級 5分2R,2,川崎ごうる,,,,none
deep,DEEPフライ級 5分2R,2,前田遊,,,,none
deep,DEEPライト級 3分2R アマチュアSルール,1,出口誉,,,,none
deep,DEEPライト級 3分2R アマチュアSルール,1,伊藤叶,,,,none
deep,ライト級決勝,2,権藤悠太郎,,,,none
deep,DEEPフェザー級 3分2R アマチュアSルール,1,杉村祥真,,,,none
deep,DEEPバンタム級 3分2R アマチュアSルール,2,切嶋黎,,,,none
deep,DEEPバンタム級 5分2R,1,石田ガリット勝也,,,,none
deep,DEEPフライ級 5分2R,2,村田和生,,,,none
deep,DEEPフェザー級 5分2R,1,福山佳祐,,,,none
deep,DEEPフェザー級 5分2R,2,濱本佳樹,,,,none
deep,DEEPフェザー級 3分2R アマチュアSルール,1,武山詩音,,,,none
deep,DEEPフライ級 3分2RアマチュアSルール,1,森大夢,,,,none
deep,DEEPフライ級 3分2RアマチュアSルール,1,内野誠哉,,,,none
deep,DEEPフェザー級 5分2R,2,佐々木耀,,,,none
deep,DEEPライト級 5分2R,1,トミー渡辺,,,,none
deep,DEEPライト級 5分2R,2,アニンタ・アリ,,,,none
deep,DEEPメガトン級 5分2R,1,ホワイトベア,,,,none
deep,DEEPフェザー級 3分2R アマチュアSルール,1,佐藤カナウ,,,,none
deep,DEEPフライ級 3分2R アマチュアSルール,2,佐藤照栄,,,,none
deep,DEEPフライ級 3分2R アマチュアSルール,1,福嶋司,,,,none
deep,DEEPフライ級 3分2R アマチュアSルール,2,金子蒼空,,,,none
deep,DEEPフライ級 3分2R アマチュアSルール,1,横山桔平,,,,none
deep,DEEPバンタム級 3分2R アマチュアSルール,1,ランペイジ竜太,,,,none
deep,DEEPストロー級タイトルマッチ 5分3R,1,越智晴雄,Q18545794,越智晴雄,29147,exact
deep,DEEPフライ級 5分2R,1,安谷屋智弘,Q112238666,安谷屋智弘,36614,exact
deep,DEEPフライ級 5分2R,3,松岡疾人,,,,none
deep,DEEPライト級 5分2R,1,野尻大輔,,,,none
deep,DEEP 60kg以下 5分2R,1,左京,,,,none
deep,DEEP JEWELS ストロー級 5分2R,2,堀内美沙紀,,,,none
deep,DEEPフライ級 3分2R アマチュアSルール,1,国分獅斗,,,,none
deep,DEEPバンタム級 3分2R アマチュアSルール,1,菊池佳歩,,,,none
deep,DEEPバンタム級 3分2R アマチュアSルール,1,佐藤凛,,,,none
deep,DEEPフェザー級 5分3R,1,奥山貴大,Q62085285,奥山貴大,467504,exact
deep,DEEPメガトン級 5分3R,1,水野竜也,Q262690,水野竜也,18538,exact
deep,DEEPメガトン級 5分3R,1,稲田将,,,,none
deep,DEEPフライ級 5分2R,1,橋本ユウタ,,,,none
deep,DEEPライト級 5分2R,1,荒井銀二,,,,none
deep,DEEPライト級 5分2R,2,平石光一,,,,none
deep,DEEPメガトン級 3分2R アマチュアSルール,1,ハチミツ大魔王,,,,none
deep,DEEPフェザー級 5分3R,1,延命そら,,,,none
deep,DEEPフェザー級 5分3R,1,牧野滉風,,,,none
deep,DEEPフェザー級 5分2R,1,三村亘,,,,none
deep,DEEPフェザー級 5分2R,2,鈴木琢仁,,,,none
deep,DEEPメガトン級 5分２R,2,大家皆,,,,none
deep,DEEPバンタム級 5分2R,2,山﨑鼓大,,,,none
deep,DEEPバンタム級 5分2R,2,田口貴規,,,,none
deep,DEEPウェルター級 5分2R,1,大澤将司,,,,none
deep,DEEPウェルター級 5分2R,1,上田拳翔,,,,none
deep,DEEPストロー級 5分2R,1,上村亮馬,,,,none
deep,DEEP 63kg以下 3分3R KICKルール,1,原田闘鬼,,,,none
deep,DEEP 63kg以下 3分3R KICKルール,1,丸山晃毅,,,,none
deep,DEEPフェザー級 5分2R,1,石田拓己,,,,none
deep,DEEPフライ級 3分2RアマチュアSルール,1,吉村凌仁郎,,,,none
deep,DEEP JEWELS 49kg以下 5分3R,1,浜崎朱加,Q11557673,浜崎朱加,45332,exact
deep,DEEP JEWELS 49kg以下 5分2R,2,サラ,,,,none
deep,DEEP JEWELSミクロ級 5分2R,1,小雪,,,,none
deep,DEEP JEWELS 49kg以下 3分2R アマチュアSルール,1,五十嵐莉子,,,,none
deep,DEEP JEWELS 49kg以下 3分2R アマチュアSルール,2,和智美音,,,,none
deep,DEEPメガトン級 5分3R,1,Guts,,,,none
deep,DEEPフライ級 5分2R,1,神酒龍一,Q11590947,神酒龍一,13392,exact
deep,DEEPバンタム級 5分2R,1,湯浅帝蓮,,,,none
deep,DEEPストロー級 5分2R,1,多湖力翔,,,,none
deep,DEEPフェザー級 5分2R,1,キム・ミンソク,,,,none
deep,DEEPバンタム 5分2R,1,山口コウタ,,,,none
deep,DEEPバンタム級 5分2R,2,丈太,,,,none
deep,DEEP 64kg以下 3分2R アマチュアSルール,1,田中悠翔,,,,none
deep,DEEPフェザー級 3分2R アマチュアSルール,1,池森ヨシキ,,,,none
deep,DEEPフェザー級 3分2R アマチュアSルール,1,松元大樹,,,,none
deep,DEEPフライ級 3分2R アマチュアSルール,1,上田遥斗,,,,none
deep,DEEPライト級 5分3R,1,大木良太,,,,none
deep,DEEPバンタム級 5分2R,1,高野優樹,Q120402600,高野優樹,167485,exact
deep,DEEP 59kg以下 5分2R,1,木村琉音,,,,none
deep,DEEPメガトン級 5分2R,1,バッファロー,,,,none
deep,DEEPフライ級 3分2R アマチュアSルール,1,大将,,,,none
deep,DEEPミドル級アマチュアSルール 3分2R,1,桜井聡紀,,,,none
deep,DEEPフライ級アマチュアSルール 3分2R,1,武田祈和,,,,none
deep,DEEPフライ級アマチュアSルール 3分2R,1,イトカズ・コウセイ,,,,none
deep,DEEPストロー級アマチュアSPルール 3分2R,1,小林桜太,,,,none
deep,DEEPバンタム級アマチュアSルール 3分2R,1,南谷純也,,,,none
deep,DEEPメガトン級アマチュアKICKルール1分30秒2R,1,ドリーム★キミ,,,,none
deep,DEEPメガトン級アマチュアKICKルール1分30秒2R,1,喪黒★福蔵,,,,none
deep,DEEPライト級 5分2R,1,胸毛ニキ,,,,none
deep,DEEPバンタム級 5分2R,1,切嶋龍希,,,,none
deep,DEEPバンタム級 5分2R,2,Akiyoshi,,,,none
deep,DEEPストロー級 5分2R,1,金光優真,,,,none
deep,DEEPフライ級 5分2R,1,中野ハヤト,,,,none
deep,DEEP54kg以下KICKルール2分３R,1,高林和真,,,,none
deep,DEEP54kg以下KICKルール2分３R,1,和泉直人,,,,none
deep,DEEP68kg以下KICKルール2分3R,1,WATARU,,,,none
deep,DEEP68kg以下KICKルール2分3R,1,中川北斗,,,,none
deep,DEEP65kg以下KICKルール2分３R,1,小林直貴,,,,none
deep,DEEP65kg以下KICKルール2分３R,1,伊藤陸都,,,,none
deep,DEEP56kg以下KICKルール2分３R,1,高山敦,,,,none
deep,DEEP56kg以下KICKルール2分３R,1,稲村健心,,,,none
deep,DEEP60kg以下KICKルール2分３R,1,鈴木克彰,,,,none
deep,DEEP60kg以下KICKルール2分３R,1,加藤宥希,,,,none
deep,DEEP49kg以下KICKルール2分3R,1,大川怜輝,,,,none
deep,DEEP49kg以下KICKルール2分3R,1,伊藤佑都,,,,none
deep,DEEP70kg以下KICKルール2分2R,1,鈴木柚来,,,,none
deep,DEEP70kg以下KICKルール2分2R,1,望月琉偉,,,,none
deep,DEEP60kg以下KICKルール2分2R,1,袴田玲,,,,none
deep,DEEP60kg以下KICKルール2分2R,1,浅野劉生,,,,none
deep,DEEP53kg以下KICKルール2分2R,1,河合奏太朗,,,,none
deep,DEEP53kg以下KICKルール2分2R,1,有村至恩,,,,none
deep,DEEP54kg以下KICKルール2分2R,1,山本凌己,,,,none
deep,DEEP54kg以下KICKルール2分2R,1,児玉英志朗,,,,none
deep,DEEPバンタム級 5分3R,1,前園渓,,,,none
deep,DEEP フェザー級 5 分 2R,1,GINJI,,,,none
deep,DEEPバンタム級 5分2R,1,澄斗,,,,none
deep,DEEPアマチュアSルール フェザー級 3分2R,1,大原宇竜,,,,none
deep,DEEP フェザー級 5分3R,1,チェ・ソンヒョク,,,,none
deep,DEEP JEWELS 51kg以下 5分2R,1,サダエ☆マヌーフ,,,,none
deep,DEEP ライト級 5 分2R,1,大野“虎眼”賢良,,,,none
deep,DEEP フライ級 5分2R,1,砂田華社,,,,none
deep,DEEP JEWELS アトム級 5分2R,1,横瀬美久,,,,none
deep,DEEP JEWELS ストロー級 5分2R,1,成本優良,,,,none
deep,DEEPウェルター級 5分3R,1,佐藤洋一郎,Q11384202,佐藤洋一郎 (格闘家),30407,exact
deep,DEEP 73kg以下 5分2R,1,郷野聡寛,Q4700928,郷野聡寛,1217,exact
