slug	date	event	opponent	verdict	evidence_note
jodan-pikeo	2014-11-17	King of Kings: Hero's Bushido Vilnius 2014	タダス・ジョンクス	NOT_MMA	King of Kingsは欧州の著名キックボクシング団体(en.wikipedia「King of Kings (kickboxing)」)。ja.wikipedia本人記事でも「オランダの男性キックボクサー」と明記され、当該試合は「キックボクシング戦績」表に掲載。MMA戦績表は存在しない。
nagashima-jienotsu-yuuichirou	2008-12-22	DEEP PROTECT IMPACT 2008	サクシー・ケイ・リバー	NOT_MMA	ja.wikipedia本人戦績表で当該試合は「キックボクシング」区分に掲載され「【キックルール】」と明記。総合格闘技セクションとは別立て。
nagashima-jienotsu-yuuichirou	2007-07-08	DEEP 30 IMPACT	上田拳二	NOT_MMA	ja.wikipedia本人戦績表で当該試合は「キックボクシング」区分に掲載され「【PUREBRED大阪提供試合 キックルール】」と明記。
morisu-sumisu	1995-09-01	パンクラス 1995 EYES OF BEAST	山田学	NOT_MMA	パンクラス公式サイト(pancrase.co.jp/data/result/1995/0901.html)に「第6試合　キックルール　3分5R」と明記されモーリス・スミスが2R2:14KO勝ち。ja.wikipedia山田学記事でも「キックボクシングルールで対戦し骨折」と補強記載あり。
fabiano-saikuron	2010-12-30	戦極 Soul of Fight	アンドリュー・ペック	NOT_MMA	戦極 Soul of FightはSRC(総合格闘技団体)主催の年末興行だが、Web検索結果(ja.wikipedia由来情報)で当該一戦は「戦極ムエタイルールで対戦」と明記されており、同カード内のキックボクシング枠だった。
yodosengurai-featekusu	2010-10-09	Legends of Heroes: Muaythai vs Kung Fu, Arena of Stars, Genting Highlands	ワン・ガン	NOT_MMA	大会名自体が「Muaythai vs Kung Fu」であり、muaythairecords.comにも同大会がムエタイ興行として記録。組み技を伴わない立ち技対抗戦。
antoni-hadonku	2003-09-27	Rings Fightgala	バダ・ハリ	NOT_MMA	ja.wikipedia本人戦績表で当該試合は「キックボクシング」区分に「Rings Fightgala」として掲載(5R判定0-3)。en.wikipedia「2003 in Fighting Network Rings」の公式興行一覧に「Fightgala」は存在せず、バダ・ハリ/ハードンクの出場記録もない(=MMA団体RINGSの興行ではない、オランダのキックボクシング系ガライベント)。
masaki-rajasakureku	2012-05-20	蹴拳 Ⅵ Next Heroes Cup×Legend of Daddy vol.2	加藤真也	NOT_MMA	本人はja.wikipediaで「男性キックボクサー」「ラジャサクレックムエタイジム」所属と明記され、戦績表全体が「キックボクシング戦績」という単一セクションのみで構成されMMA区分自体が存在しない。
masaki-rajasakureku	2011-08-28	2011藤原祭り～夏の陣～ 其の壱	岩下隆樹	NOT_MMA	同上。藤原祭り自体も全日本キックボクシング連盟主催のキック興行(SPICE記事)であり、本人記事の戦績表はキックボクシング区分のみ。
masaki-rajasakureku	2011-06-12	M-1フレッシュマンズ NEXT HEROS CUP2011 vol.2	KEN山十	NOT_MMA	同上。本人のプロデビュー戦として同記事に記載されており、キックボクシング戦績表のみに掲載。
vito-miranda	2007-07-07	Shooto Brazil 3	Guto Inocente	NOT_MMA	en.wikipedia本人記事でMMA戦績表(Mixed martial arts record)とは別に「Kickboxing record」表があり、当該試合(2007/07/07 vs Guto Inocente, Shooto Brazil 3)はキックボクシング戦績表側にのみ記載。
vito-miranda	2007-03-24	Shooto Brazil 2	Ronaldo Leite	NOT_MMA	同上。en.wikipedia本人記事のKickboxing record表に「03/24/2007 Win Ronaldo Leite Shooto Brazil 2」と記載され、MMA record表には含まれない。
buakao-banchameku	2010-12-30	戦極 Soul of Fight	中島弘貴	NOT_MMA	Web検索結果(複数ソース)で「戦極 Soul of Fightで中島弘貴とキックボクシングルールで対戦し70kg契約体重戦」と明記。SRC主催の総合格闘技興行内のキックボクシング枠。
nakajima-hiroki	2010-12-30	戦極 Soul of Fight	ブアカーオ・ポー.プラムック	NOT_MMA	上記ブアカーオ側と同一カードの表裏。同ソースで「キックボクシングルール」と明記されている。
hiroto-yamaguchi	2014-09-21	JAPAN KICKBOXING INNOVATION「Dream Force-4」	豪鬼	NOT_MMA	大会名自体が「JAPAN KICKBOXING INNOVATION」主催であることを明示。本人はja.wikipediaで「日本のキックボクサー」、当該興行はINNOVATION Sライト級王座次期挑戦者決定トーナメント決勝(キック公式サイトkick-innovation.com記載)。
kamikaze-rio	2011-05-14	JEWELS「JEWELS 13th RING」	林美久	NOT_MMA	JEWELS興行はMMA/キックボクシング/グラップリングが混在するカード編成(Tapology「MMA, Kickboxing, & Grappling Event」)。本人ja.wikipedia戦績表では当該試合が「キックボクシング戦績」区分に掲載され、MMA区分は存在しない。
seina	2019-12-22	DEEP JEWELS 27	くるみ	NOT_MMA	DEEP JEWELSは通常MMA団体だが、本人(聖愛)のja.wikipedia戦績表では当該試合が「キックボクシング戦績」区分に掲載されており、同カード内のキックボクシング枠だったと判断できる。
seina	2018-04-29	Z-1 CARNIVAL 闘魂シリーズ ヤングファイト	sasori	NOT_MMA	Z-1 CARNIVALはNKB(日本キックボクシング連盟)/NKジム主催のキックボクシング興行(BOUTREVIEW記事)。本人ja.wikipedia戦績表でも当該試合はキックボクシング区分に掲載。
minato-tarou	1992-07-06	梶原一騎追悼'90格闘技の祭典	シンペット・ルーランシー	NOT_MMA	本人(港太郎)はMAキック出身のキックボクサー(BOUTREVIEW訃報記事)。ja.wikipedia本人戦績表で当該試合はキックボクシング区分に掲載され、総合格闘技欄には含まれない。
hiroki-suzuki	2019-02-17	PANCRASE REBELS RING.1	ジョン・ラゥィー	NOT_MMA	Tapology/BOUTREVIEW/ゴング格闘技によりPANCRASE REBELSはパンクラスとキックボクシング/ムエタイ団体REBELSの合同興行で、この一戦は「60kgクラスREBELSルール」の立ち技戦と確認。
ogasawara-eisaku	2019-02-17	PANCRASE REBELS RING.1 NIGHT	ペットヤソー・ダームランサラカム	NOT_MMA	同上PANCRASE REBELSイベントのキックボクシング/ムエタイ興行。小笠原はISKA/WPMFキックボクシング世界王者、相手はルンピニー系ムエタイ選手(検索結果より)で立ち技戦。
uchida-noboru	2003-05-31	習志野ジム＆掣圏道協会「格闘技新世紀・夢 挑戦!」	セルゲイ・グール	NOT_MMA	一次資料BOUTREVIEW大会レポート(boutreview.com/data/reports/030531narashino.html)に「第9試合　キックボクシング　3分3R」として明記され、判定0-3(28-30,27-30,27-30)もTSVと一致。同大会には別途パンクラチオン(総合格闘技)枠もあったが本試合はキックボクシング枠。
amiru-zeyada	2007-03-25	Rings Gala	タイロン・スポーン	NOT_MMA	Tapology/YouTube公式映像によりオランダ・ユトレヒトで開催された「welterweight pro kickboxing」興行と確認。3R1:49TKOという結果も一致。日本のMMA団体RINGSとは無関係の欧州キックボクシング興行。
satake-masaaki	1992-11-13	リングス MEGA-BATTLE TOURNAMENT '92 2nd Round	ヘルマン・レンティング	MMA	ja.wikipedia「リングス」記事によりRINGSは投げ技・タックル・関節技・寝技を認める総合格闘技ルール(顔面パンチとグラウンド打撃のみ禁止)と確認。佐竹雅昭のWikipedia戦績表でもRINGS参戦は「総合格闘技」区分に分類されキックボクシング区分と明確に区別されている。
satake-masaaki	1992-10-29	リングス MEGA-BATTLE TOURNAMENT '92 1st round	長井満也	MMA	同上。prowrestlingdata.com記録および佐竹雅昭Wikipediaの戦績区分(総合格闘技)で確認。RINGSルールは投げ・関節技・寝技を許容する総合格闘技ルール。
satake-masaaki	1992-10-04	格闘技オリンピックIII 〜カラテワールドカップ '92〜	ピーター・アーツ	NOT_MMA	検索結果および佐竹雅昭Wikipedia戦績表で本試合は「キックボクシング」区分に明記(RINGSの総合格闘技区分とは別表)。主催はRINGSではなく正道会館系「格闘技オリンピック」で、キックボクシングルールでの引き分けと確認。
satake-masaaki	1992-08-21	リングス MEGA BATTLE SPECIAL 礎～ISHIZUE	ロブ・カーマン	MMA	prowrestlingdata.com「リングス1992年」一覧で同日程・同会場(横浜アリーナ)の正式RINGS興行と確認。RINGSルール(投げ・関節技・寝技許容の総合格闘技ルール)下の一戦で、佐竹Wikipedia戦績表でも総合格闘技区分。
satake-masaaki	1992-07-16	リングス MEGA BATTLE 6th. 颯～HAYATE	ピーター・ウラ	MMA	RINGS Mega Battleシリーズの正式興行(ja.wikipedia「リングス」記事の1992年大会一覧に記載)。RINGSルールは総合格闘技ルールと確認済み、佐竹Wikipedia戦績表も総合格闘技区分。
satake-masaaki	1992-06-25	リングス MEGA BATTLE 5th. 獅子吼～SHI SHI KU	ウィリー・ピータース	MMA	同上。RINGS Mega Battleシリーズ正式興行で、対戦相手ウィリー・ピータースもRINGS常連の総合格闘家。RINGSルール(投げ・関節技・寝技許容)下の一戦。
satake-masaaki	1992-05-16	リングス MEGA BATTLE 4th. 光臨～KOHRIN リングス旗揚げ1周年記念大会	バート・コップスJr	MMA	prowrestlingdata.comにRINGS旗揚げ1周年記念大会として記載される正式RINGS興行。RINGSルール(総合格闘技ルール)下の一戦で、佐竹Wikipedia戦績表も総合格闘技区分。
satake-masaaki	1992-04-03	リングス MEGA BATTLE 3rd. 雷～IKAZUCHI	ヘルマン・レンティング	MMA	RINGS Mega Battleシリーズ正式興行(ja.wikipedia「リングス」1992年大会一覧に記載)。RINGSルールは投げ・タックル・関節技・寝技を許容する総合格闘技ルールと確認済み。
satake-masaaki	1992-03-05	リングス MEGA-BATTLE 2nd. 息・吹～IBUKI	フレッド・オーストロン	MMA	同上RINGS Mega Battleシリーズ正式興行。RINGSルール(総合格闘技ルール)下の一戦、佐竹Wikipedia戦績表も総合格闘技区分。
satake-masaaki	1992-01-25	リングス MEGA-BATTLE 1st. 回天～KAITEN	ジェラルド・ゴルドー	MMA	RINGS Mega Battleシリーズ正式興行。反則勝ち(顔面パンチによる反則)という決着自体がRINGSの「顔面パンチ禁止」ルールの実在を裏付ける一次的傍証。総合格闘技ルール下の一戦。
satake-masaaki	1991-12-07	リングス ASTRAL STEP FINAL BLAZE UP 炎上	ハンス・ナイマン	MMA	Sportiva記事(sportiva.shueisha.co.jp)で「前田日明が主宰する総合格闘技『RINGS』への本格参戦」と明記される佐竹のRINGSデビュー戦。同記事は佐竹がRINGS参戦のため寝技・サンボ等グラップリングを練習したとも証言。
saiga-kizaemon	2014-03-30	PANCRASE 257	キム･ジンクー	NOT_MMA	パンクラス公式サイト(pancrase.co.jp/tour/2014/0330)に本カードが「シュートボクシングルール　ライト級エキスパートクラス特別ルール」と明記。シュートボクシングはja.wikipedia記事で「タックルと寝技は認められていない」独立競技とされMMAとは異なる。
murahama-takehiro	2012-07-28	ACCEL20 格闘技夏祭り	MATSU	NOT_MMA	村浜武洋のja.wikipedia戦績表で本試合は「キックボクシング」セクションに掲載。主催ACCELはキックボクシング/ラウェイ/空手/MMAが混在する興行だが、本カードはキックボクシングルールと確認。
murahama-takehiro	1998-04-26	SHOOT THE SHOOTO XX	ガウナーソーケッタリンチャン	NOT_MMA	ゴング格闘技(gonkaku.jp/articles/3648)の一次記事に「今回は村浜の土俵であるシュートボクシングルール」と明記。SHOOT THE SHOOTOは修斗(MMA)とシュートボクシングの合同興行で、本カードはシュートボクシング側のルール。
mizumachi-hiroshi	2005-07-16	新・格闘技の祭典2005	ミルチャ・サボウ	NOT_MMA	水町浩のja.wikipedia戦績表で本試合は「キックボクシングルール」の日本王座関連ショーダウンマッチ(67kg契約)と明記。
mizumachi-hiroshi	2003-07-13	新・格闘技の祭典	ロマノフ・デニス	NOT_MMA	ja.wikipedia.org「水町浩」の戦績表に「新・格闘技の祭典【キックボクシングルール】」と明記されており、キックボクシングルールの試合と確認できる。
mutsuki-ebata	2010-12-30	戦極 Soul of Fight	藤原あらし	NOT_MMA	江幡睦はキックボクシング専門選手(新日本キックボクシング協会/WKBA)。ja.wikipedia.org「戦極 Soul of Fight」記事によれば同大会はMMA・キックボクシング・女子格闘技等を併催した複合興行であり、江幡のWikipedia戦績はキックボクシング記録として掲載されている。
azuma	2012-09-22	JEWELS 21st RING	チャン・ミジョン	NOT_MMA	ja.wikipedia.org「AZUMA」の該当試合は「プロキックボクシング」戦績欄に分類されている。JEWELSは女子総合格闘技団体だが、AZUMA自身はキックボクサーとしてその興行のキックボクシング枠で対戦したもの。
azuma	2012-07-21	JEWELS 20th RING	キム・ジヨン	NOT_MMA	同上。ja.wikipedia.org「AZUMA」でプロキックボクシング戦績として記載。
azuma	2011-09-11	JEWELS 16th RING	キム・ソンウン	NOT_MMA	同上。ja.wikipedia.org「AZUMA」でプロキックボクシング戦績として記載。
azuma	2011-05-14	JEWELS 13th RING	神風萸暉美	NOT_MMA	同上。ja.wikipedia.org「AZUMA」でプロキックボクシング戦績として記載。
uiriamu-dinda	2007-09-23	Rings Holland - Risky Business	ウォーレン・スティーブルマンズ	NOT_MMA	対戦相手Warren StevelmansはMMA歴のない純キックボクサーで、Wikipedia(英語版)によればこの前後にDienderを破りN.K.B.B.(オランダキックボクシング協会)70kg級王座を獲得している。TapologyもRings Holland興行を「MMA & Kickboxing」混合カードと分類しており、当該対戦はキックボクシング枠と判断。
yuri-mesu	2007-09-23	Rings Holland - Risky Business	イムロ・メイン	NOT_MMA	"対戦相手Imro ""Murder"" Mainはムエタイをベースとするキックボクサーで、Tapologyは同選手のRings Holland出場試合を明示的に「Kickboxing Bout」と分類している。"
yuri-mesu	2006-11-12	2H2H - PRIDE & HONOR	タイロン・スポーン	NOT_MMA	対戦相手Tyrone Spong(当時は純キックボクサー、後年にMMA転向)とのこの一戦はmuaythairecords.comにムエタイ戦績として記録されており、5ラウンド制はムエタイ/キックボクシングの標準フォーマット。Tapology等の情報では同興行は「9 MMA bouts, 6 Muay Thai bouts」の混合カードで、本試合はMuay Thai側に該当。
fujita-tomoya	2014-09-06	平江中日格闘技対抗戦	ファン・ビアン	NOT_MMA	ja.wikipedia.org「藤田智也」のページは全編プロキックボクサーとしての記録のみで構成され、「総合格闘技」節は存在しない。当該試合は唯一の「戦績」表(キックボクシング記録)に掲載されている。
fujita-tomoya	2008-09-15	CHIKISEI FIGHTING DREAM 1	銀次郎	NOT_MMA	同上。ja.wikipedia.org「藤田智也」の唯一のキックボクシング戦績表に記載され、MMA節は存在しない。
yoshimoto-kouji	2005-09-24	国際格闘技武道連盟	チョン・ヒョソン	NOT_MMA	ja.wikipedia.org「吉本光志」の該当行は「国際格闘技武道連盟【IKMF東洋ライト級初代王者決定戦】」と記載。IKMF(International Kickboxing Martial Arts Federation)はキックボクシング団体であり、KO方法も「3ノックダウン：ローキック」とキックボクシング特有の決まり手。
arekusei-igunashofu	2018-04-06	Bellator Kickboxing 9	ゼバット・ポーツラック	NOT_MMA	大会名に明記の通りBellator社のキックボクシング専門サブブランド「Bellator Kickboxing」の興行(en.wikipedia.org「Bellator Kickboxing」)。MMA団体Bellatorの名を冠するが、この大会自体はキックボクシングルール。
yokota-kazunori	2011-09-18	DEEP CAGE IMPACT 2011 in HAMAMATSU	ほそえとしひろ	NOT_MMA	ja.wikipedia.org「横田一則」の該当行は「キックボクシング」戦績表に掲載されている(総合格闘技の戦績表とは別立て)。横田はDEEP所属の総合格闘家だが、この一戦はDEEP興行内のキックボクシング枠。
yokota-kazunori	2007-06-16	club DEEP 東京	イ・デヨン	NOT_MMA	ja.wikipedia.org「横田一則」の来歴に「club DEEP Tokyoでキックボクシングデビュー」と明記されており、当該試合はキックボクシングデビュー戦。戦績表も「キックボクシング」欄に掲載。
kanonsuku-uirasakureku	2010-12-30	戦極 Soul of Fight	山本元気	NOT_MMA	ja.wikipedia.org「カノンスック・ウィラサクレック」に「戦極 Soul of Fightで山本元気と戦極ムエタイルールで対戦し、3-0の判定勝ち」と明記されており、ムエタイルールの試合と確認できる。
panchan-rina	2019-02-17	PANCRASE REBELS RING.1 NIGHT	川島江理沙	NOT_MMA	ja.wikipedia.org「ぱんちゃん璃奈」は冒頭から「女性キックボクサー」として紹介され、「総合格闘技」節は存在せず、戦績は「プロキックボクシング」欄のみ。当該試合もその唯一の戦績表に含まれる。
adamu-wato	1993-04-30	リングス格闘技後楽園実験リーグ'93 Round2	岩下伸樹	NOT_MMA	ja.wikipedia.org「アダム・ワット」に「レガースや肘パット等の着用が義務付けられた特別キックルール」での対戦と明記されており、組み技・関節技を伴わないキック限定ルールと確認できる。
adamu-wato	1992-12-11	格闘技シンポジウム～総合格闘技完成前夜	ロブ・カーマン	NOT_MMA	ja.wikipedia.org「ロブ・カーマン」の戦績表で当該試合はキックボクシング節に掲載されている。大会名は「総合格闘技完成前夜」を冠するが、実際にはキックボクシングルールでの対戦だったと判断できる。
adamu-wato	1992-10-04	格闘技オリンピックIII〜'92カラテワールドカップ	スタン・ザ・マン	NOT_MMA	同日同大会の佐竹雅昭対ピーター・アーツ戦が「キックボクシングルールで対戦」と検索結果で確認でき、大会自体もWikipedia記事で「キックボクシング形式の一戦二本勝負」興行と説明されている。
adamu-wato	1992-05-14	リングス有明大会「光臨」	ピーター・アーツ	NOT_MMA	RINGS本興行内の特別マッチだが、YouTube解説動画・プロレス試合結果データベースともに「キックボクシングルールで行われた」と明記されている一戦。
adamu-wato	1992-03-24	硬派er-'92格闘技オリンピックⅠ	ロブ・カーマン	NOT_MMA	prowrestlingdata.comの当該大会結果ページに第⑤戦として「ルール形式：キックボクシングルール＝3分5回戦休憩1分」と明記されている。
watanabe-hisae	2007-10-21	club DEEP 浜松	ヤン・ジョンオゥン	NOT_MMA	ブルテリアブログの大会結果記事で当該戦は「キックボクシングルール、48kg契約」の一戦と明記。同興行はDEEP系列だがキック・総合・グラップリング等を併催する形式。
gureishaa-aki	2004-05-07	黄金筋肉 女子総合格闘技 最強女王決定トーナメント	杉貴美子	NOT_MMA	大会名は「女子総合格闘技」だが、ja.wikipedia「グレイシャア亜紀」の戦績表では当該大会が「【キックボクシングルール】」と注記されている。
gureishaa-aki	2003-05-22	女子格闘技Gals	渡辺亜矢子	NOT_MMA	検索結果で「イベント中で唯一のキックボクシングルールの一戦」と明記されており、この試合を機にリングネームを改名したことも確認できる。
