type	slug	name	wins	losses	draws	unknown	total	gym	orgs	classification	note
F1(敗0)	chansuku-petindiakademi	チャーンスック・ペッティンディーアカデミー	4	0	0	0	4	Petchyindee Academy	['RISE']	データ誤り(修正済み)	2026-06-06 麻火佑太郎戦。両者の個人ページが共に「勝利」を表示(RISE公式サイト自体の誤り)。大会結果ページ(rise-rc.com/result/rise_ws2026_tokyo_result/)で麻火佑太郎の勝利(◯)・本選手の敗北(×)を確認し、result/result_markをlossに修正
F1(敗0)	mizutani-kodai	水谷 昊代	4	0	0	0	4	TEAM TMT	['K-1 / Krush / Krush-EX', 'HoostCup']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	megumi-yamaguchi	山口 恵	4	0	0	0	4	RICHキックボクシングジム	['RISE']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	rukasu-ahaterubagu	ルーカス・アハテルバーグ	4	0	0	0	4	Team CSK/Sparta Aachen	['K-1 / Krush / Krush-EX']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	uchida-masayuki	内田雅之	2	0	2	0	4		['NJKF', 'NKB', 'JKA']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	mikami-henri-daichi	三上 大智	4	0	0	0	4	ボスジムジャパン	['SHOOT BOXING']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	marato-guregorian	マラット・グレゴリアン	3	0	0	0	3		['K-1 / Krush / Krush-EX']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	urajimiru-touraefu	ウラジーミル・トゥラエフ	3	0	0	0	3	Makeev Team	['K-1 / Krush / Krush-EX']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	umezwa-ryotaro	梅沢 遼太郎	2	0	1	0	3	白山道場	['KNOCK OUT', 'NJKF']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	shoji-hagimoto	萩本将次	2	0	1	0	3	FUTAMI FIGHTCLUB	['RISE']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	tan-fon	タン・フォン	3	0	0	0	3	中国/長沙鋭景ファイティングクラブ/CFP	['KNOCK OUT']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	bonta	ボン太	3	0	0	0	3		['K-1 / Krush / Krush-EX', 'HoostCup']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	ashurafu-ashira	アシュラフ・アーシラ	3	0	0	0	3	Hammer crew 69/ Empire Fight gym	['RISE']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	jieijiei-morisu	ジェイジェイ・モーリス	3	0	0	0	3	Gym One/Team Morris	['K-1 / Krush / Krush-EX']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	suzuki-shinji	鈴木真治	3	0	0	0	3		['NJKF']	正当な戦績(反証なし)	対戦相手が名簿外のため相互参照不可。他に疑わしい所見なし
F1(敗0)	mirosu-tsuvechikanin-2	ミロス・ツヴェチカニン	3	0	0	0	3		['K-1 / Krush / Krush-EX']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	hirao	平尾 大智	1	0	2	0	3		['K-1 / Krush / Krush-EX', 'HoostCup']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	斗吾	斗吾	3	0	0	0	3		['新日本キックボクシング協会(SNKA)']	正当な戦績(反証なし)	対戦相手が名簿外のため相互参照不可。他に疑わしい所見なし
F1(敗0)	zaku-pankuhasuto	ザック・パンクハースト	3	0	0	0	3	Taylormade Muay Thai	['K-1 / Krush / Krush-EX']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	ibuki	歩希	2	0	1	0	3	team VASILEUS	['KNOCK OUT', 'Stand up']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	sutefan-ratesuku	ステファン・ラテスク	3	0	0	0	3	SCORPIONS IASI	['K-1 / Krush / Krush-EX']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	joichiro-iwaduru	岩鶴城一楼	3	0	0	0	3	KOGスポーツジム	['RISE']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	igoru-yurukobichi	イゴール・ユルコビッチ	3	0	0	0	3		['K-1 / Krush / Krush-EX']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F1(敗0)	ikeda-kota	池田 航太	2	0	1	0	3	拳粋会宮越道場	['KNOCK OUT', 'NJKF']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	utsunomiya-joe	宇都宮 城	0	9	1	0	10		['K-1 / Krush / Krush-EX', 'NJKF']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	motoki	元氣	0	8	0	0	8	楠誠会館	['RISE', 'RIZIN']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	imai-ryoji	今井 良次	0	7	1	0	8	ポゴナ・クラブジム	['K-1 / Krush / Krush-EX', 'NJKF', 'KROSS×OVER']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	oizumi-sho	大泉 翔	0	7	0	0	7		['K-1 / Krush / Krush-EX', 'HoostCup']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	mikity	美斬帝	0	6	1	0	7	テツジム	['RISE', 'NJKF']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	andoryu-ken-buryusuta	アンドリュー“KEN”ブリュースター	0	6	0	0	6		['K-1 / Krush / Krush-EX', 'KROSS×OVER']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	ozawa-rikiya	小澤 量哉	0	6	0	0	6		['K-1 / Krush / Krush-EX', 'HoostCup']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	uiriamu-dinda	ウィリアム・ディンダー	0	6	0	0	6		['K-1 / Krush / Krush-EX']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	kenta-mori	森 謙太	0	6	0	0	6	秀心塾	['RISE', 'HoostCup']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	moue-kazuki	馬上 一樹	0	6	0	0	6	REX GYM	['KNOCK OUT']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	go-oh	剛王	0	5	0	1	6		['K-1 / Krush / Krush-EX', 'HoostCup']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	yamane-takeo	山根 武夫	0	5	1	0	6		['K-1 / Krush / Krush-EX', 'KROSS×OVER']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	sakuta-yoshinori	作田 良典	0	3	1	1	5		['K-1 / Krush / Krush-EX', 'DEEP☆KICK', 'NKB']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	kura	呼良	0	4	1	0	5	SHINE SPORTS CLUB	['K-1 / Krush / Krush-EX']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	tsuchiya-shinobu	土屋 忍	0	1	4	0	5	Y’ZD GYM	['K-1 / Krush / Krush-EX', 'NKB']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	kimu-gyonsoku	キム・ギョンソック	0	5	0	0	5		['K-1 / Krush / Krush-EX']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	sota-fukushima	福島草太	0	4	1	0	5	MASTER JAPAN	['RISE']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	natsuki	夏気	0	5	0	0	5	VRK GYM	['K-1 / Krush / Krush-EX', 'KROSS×OVER']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	takeaki-kobayashi	小林 丈晃	0	3	2	0	5	練誠塾	['KNOCK OUT']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	reito-nagamine	永峯麗人	0	5	0	0	5	インタージム谷山	['RISE']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	kato-yosuke	加藤 洋介	0	4	0	1	5	K-1 GYM SAGAMI-ONO KREST	['K-1 / Krush / Krush-EX', 'NJKF', 'NKB']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	juna-koda	上田樹那	0	4	1	0	5	山口道場	['RISE', 'RIZIN', 'DEEP☆KICK']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	ochiai-jun	落合 淳	0	5	0	0	5		['K-1 / Krush / Krush-EX']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	suzuki-tyson	鈴木 太尊	0	5	0	0	5	クボジム	['K-1 / Krush / Krush-EX', 'NJKF']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	ishii-hirokazu	石井宏和	0	5	0	0	5		['DEEP☆KICK', 'NJKF', 'HoostCup']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	yuki-shun	ユウキ・旬	0	3	1	0	4		['K-1 / Krush / Krush-EX']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	ootakaichirou	大高一郎	0	4	0	0	4		['K-1 / Krush / Krush-EX', 'NJKF']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	ishii-takuya	石井 拓也	0	4	0	0	4	TEAM FOREST	['SHOOT BOXING']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	ibi-daisuke	井樋 大介	0	3	1	0	4	KNOCK OUT クロスポイント金沢	['KNOCK OUT', 'KROSS×OVER']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	aran-kudo	アラン・クドー	0	4	0	0	4	Brazilian Thai	['K-1 / Krush / Krush-EX', 'HoostCup']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	watanabe-shunya	渡部 瞬弥	0	4	0	0	4	エスジム	['K-1 / Krush / Krush-EX', 'NJKF']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	ranbo	乱暴	0	3	1	0	4		['K-1 / Krush / Krush-EX']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	kikuzakiu-tan	菊崎U-TAN義史	0	2	2	0	4	TANG TANG FIGHT CLUB	['K-1 / Krush / Krush-EX']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	adachi-maiko	足立 麻衣子	0	4	0	0	4	ONESIDE KICKBOXING GYM	['K-1 / Krush / Krush-EX', 'NKB', 'KROSS×OVER']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	sasho-koichi	佐生 光一	0	4	0	0	4	K-1ジム五反田チームキングス	['K-1 / Krush / Krush-EX']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	pere-rido	ペレ・リード	0	4	0	0	4		['K-1 / Krush / Krush-EX']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
F2(勝0)	mitsutaka	MITSUTAKA	0	4	0	0	4		['K-1 / Krush / Krush-EX']	正当な戦績(相互参照で矛盾なし)	対戦相手側ページとの相互参照(同日・同大会の結果が対になっているか)で矛盾を検出せず
