event	date	fighter	opponent	verdict	evidence_note
KROSS×OVER 15	2021-12-05	石川 慶	白井 嶺虎	NOT_MMA	Kick S-class -60.5kg
KROSS×OVER 15	2021-12-05	眞暢	不動明王岸田	NOT_MMA	Kickboxing -62.5kg
KROSS×OVER 15	2021-12-05	森本 直哉	小林 京介	NOT_MMA	Kickboxing -60kg
KROSS×OVER 15	2021-12-05	藤本新	Gravedigger	MMA	MMA Welterweight -77.1kg
KROSS×OVER 15	2021-12-05	坂本 寿希	水野 一矢	NOT_MMA	Kickboxing -55kg王座決定T決勝
KROSS×OVER 15	2021-12-05	大久保 祐	曽我 昂史【コウシ・ウォーワンチャイ】	NOT_MMA	Junior Muay Thai -45kg
KROSS×OVER 15	2021-12-05	星野 航大	ハリィ永田	NOT_MMA	Kickboxing -53kg
KROSS×OVER 15	2021-12-05	AIKO	松本 徐倫	NOT_MMA	Kickboxing Girls -44kg
KROSS×OVER 17	2022-04-17	清水俊貴	ガイヤーンMFC	NOT_MMA	Pro Muay Thai -57kg
KROSS×OVER 17	2022-04-17	遠藤 健太郎	我謝 真人	NOT_MMA	Pro-Kick -65kg
KROSS×OVER 17	2022-04-17	雅治	篠原 賢	NOT_MMA	Kickboxing S-Class -58kg
KROSS×OVER 17	2022-04-17	長谷川 豊	倉光 改	NOT_MMA	Pro-Kick -69kg
KROSS×OVER 17	2022-04-17	森本 直哉	不動明王岸田	NOT_MMA	PRO-KICK -60kg
KROSS×OVER 17	2022-04-17	渋江 健司	小椋 柊磨	NOT_MMA	Pro Muay Thai -55kg
KROSS×OVER 17	2022-04-17	藤本新	松信 亮次	NOT_MMA	Pro-Kick -80kg
KROSS×OVER 17	2022-04-17	矢島 直弥	サイモン・シェ	NOT_MMA	PRO-KICK -53kg
KROSS×OVER 17	2022-04-17	渡部 蕾	高木 礼司	NOT_MMA	JUNIOR-MUAYTHAI-45kg
KROSS×OVER 17	2022-04-17	星野 航大	星 憂雅	NOT_MMA	Pro-Kick -53kg
KROSS×OVER -CAGE.8- GENスポーツパレス大会	2026-03-01	久郷トオル	加藤 宥希	NOT_MMA	KICK PART -61kg
KROSS×OVER -CAGE.8- GENスポーツパレス大会	2026-03-01	草野 浩二郎	次田 壮汰	NOT_MMA	KICK PART -52kg
KROSS×OVER -CAGE.8- GENスポーツパレス大会	2026-03-01	瀧山 悠斗	稲垣 優	NOT_MMA	KICK PART -53kg
KROSS×OVER -CAGE.8- GENスポーツパレス大会	2026-03-01	山元剣心	小柳 俊和	NOT_MMA	KICK PART -57.5kg
KROSS×OVER -CAGE.8- GENスポーツパレス大会	2026-03-01	木村 太地	がやお	NOT_MMA	KICK PARTヘビー級
KROSS×OVER -CAGE.8- GENスポーツパレス大会	2026-03-01	谷田貝海吏	竹中 悠獅	NOT_MMA	KICK PART -55kg
KROSS×OVER -CAGE.8- GENスポーツパレス大会	2026-03-01	坂本 寿希	原 拓海	MMA	KROSS×OVER MMA Sクラス-55kg
KROSS×OVER -CAGE.8- GENスポーツパレス大会	2026-03-01	竜雅	田山 侑希	NOT_MMA	PRO-KICK -53.5kg
KROSS×OVER -CAGE.8- GENスポーツパレス大会	2026-03-01	優空	兄	NOT_MMA	KICK PART -51.5kg Fly
KROSS×OVER 14	2021-10-03	武 裕太	村松 寛昌	NOT_MMA	KICK Sクラス-63kg
KROSS×OVER 14	2021-10-03	アンドリュー"KEN"ブリュースター	遠藤 由春	NOT_MMA	PRO-KICK -57kg
KROSS×OVER 14	2021-10-03	小野寺 隼	林 寛太郎	NOT_MMA	KICK Sクラス-57.5kg
KROSS×OVER 14	2021-10-03	緒方 惇	TAMURA	NOT_MMA	メインイベントKICK初代-67.5kgT
KROSS×OVER 14	2021-10-03	小野琥大	山下 榮斗	NOT_MMA	JUNIOR-MUAYTHAI -36kg
KROSS×OVER 14	2021-10-03	坂本 寿希	サイモン・シェ	NOT_MMA	セミファイナルKICK初代-55kgT
KROSS×OVER 14	2021-10-03	大久保 祐	暖東	NOT_MMA	ジュニアムエタイ スーパーファイト
KROSS×OVER 14	2021-10-03	安田 学登	埜口 孝稀	NOT_MMA	PRO-KICK -63kg
KROSS×OVER 14	2021-10-03	落合 正司	水野 一矢	NOT_MMA	メインイベントKICK初代-55kgT
KROSS×OVER -EXTRA.3-	2023-03-05	KAZUNORI	矢島 直弥	NOT_MMA	メインイベントPRO-KICK -55kg
KROSS×OVER -EXTRA.3-	2023-03-05	矢島 直弥	KAZUNORI	NOT_MMA	dup
KROSS×OVER -EXTRA.3-	2023-03-05	林 眞平	清水 聡之晟	NOT_MMA	PRO-KICK -58.5kg
KROSS×OVER -EXTRA.3-	2023-03-05	Uver∞miyU	町屋 杏	NOT_MMA	PRO-GIRLSKICK -44kg
KROSS×OVER -EXTRA.3-	2023-03-05	羽鳥 仁	堀内 代輝	NOT_MMA	PRO-KICK -62.5kg
KROSS×OVER -EXTRA.3-	2023-03-05	山根 武夫	針谷 耕	NOT_MMA	セミファイナルPRO-KICK HEAVYWEIGHT
KROSS×OVER -EXTRA.2-＆Level-G zero	2022-11-27	竹腰 一麻	透	NOT_MMA	PRO-MUAYTHAI -63.5kg
KROSS×OVER -EXTRA.2-＆Level-G zero	2022-11-27	知良	不動明王岸田	NOT_MMA	PRO-KICK -60kg
KROSS×OVER -EXTRA.2-＆Level-G zero	2022-11-27	渡部 蕾	大久保 祐	NOT_MMA	JUNIOR-MUAYTHAI -50kg
KROSS×OVER -EXTRA.2-＆Level-G zero	2022-11-27	大久保 祐	渡部 蕾	NOT_MMA	dup
KROSS×OVER -EXTRA.2-＆Level-G zero	2022-11-27	中平 卓見	GUNTHER KALUNDA	NOT_MMA	メインイベントPRO-KICK
【 KROSS×OVER CAGE.9】	2026-06-21	吉田 圭佑	クボジム太郎	NOT_MMA	PRO-KICK SUPERLIGHTWEIGHT
【 KROSS×OVER CAGE.9】	2026-06-21	浜崎 瞬太	ペガサス木本	NOT_MMA	PRO-KICK WELTERWEIGHT
【 KROSS×OVER CAGE.9】	2026-06-21	ブハリ亜輝留	藤虎	NOT_MMA	KICK PARTメインイベントPRO-KICK MIDDLEWEIGHT
KROSS×OVER – EXTRA.1	2022-07-17	辻井和花	池田 想夏	NOT_MMA	GIRLSKICK -45.5kg
KROSS×OVER – EXTRA.1	2022-07-17	小西 陵太	松信 亮次	NOT_MMA	PRO-KICK -76kg
KROSS×OVER 19	2022-10-16	陸刃	シンイチ・ウォーワンチャイ	NOT_MMA	KROSS×OVER MUAYTHAI 肘あり
KROSS×OVER 19	2022-10-16	遠藤健太郎	RUKA。	NOT_MMA	KICK -65kg
KROSS×OVER 19	2022-10-16	鳰翼	村松寛昌	NOT_MMA	KICK Sクラス -65kg
KROSS×OVER 19	2022-10-16	雅治	RYU	NOT_MMA	PRO-KICK -57.5kg
KROSS×OVER 19	2022-10-16	鳰陽斗	山下明涼真	NOT_MMA	KICK Sクラス -60kg
KROSS×OVER 19	2022-10-16	田中康友	曽我好健	NOT_MMA	JUNIOR-MUAYTHAI -48kg
KROSS×OVER 19	2022-10-16	森本直哉	直哉	NOT_MMA	KICK -60kg
KROSS×OVER 19	2022-10-16	足立麻衣子	小笠原綾子	NOT_MMA	GIRLS KICK -51kg
KROSS×OVER 19	2022-10-16	テレカ∞	中泉翔	NOT_MMA	KICK -63kg
KROSS×OVER 19	2022-10-16	矢島直弥	星憂雅	NOT_MMA	KICK -53kgタイトル
KROSS×OVER 19	2022-10-16	星野航大	獅子丸	NOT_MMA	KICK -53kg
KROSS×OVER 19	2022-10-16	獅子丸	星野航大	NOT_MMA	dup
KROSS×OVER 19	2022-10-16	Uver∞miyU	黒川真里裳	NOT_MMA	GIRLS KICK -47kg
KROSS×OVER 19	2022-10-16	金子久美子	小川香奈子	NOT_MMA	GIRLS KICK -52kg
KROSS×OVER 19	2022-10-16	瑠華	戸田史	NOT_MMA	GIRLS MUAYTHAI -48kg
KROSS×OVER 5	2019-02-24	瀧川リョウ	功成	NOT_MMA	キック王座決定T一回戦
KROSS×OVER 5	2019-02-24	藤本新	中野謙	MMA	MMA部門、ヒジ有り
KROSS×OVER 5	2019-02-24	中平卓見	坂本英則	NOT_MMA	キック王座T決勝進出戦
KROSS×OVER 5	2019-02-24	松岡翔大	菊地陽太	NOT_MMA	Kickboxing -65kg
KROSS×OVER.23	2023-10-22	松本徐倫	辻井和花	NOT_MMA	Girls-Kick Atomweight -45kg
KROSS×OVER.26	2024-07-07	清水俊貴	中澤誠弥	NOT_MMA	PRO-KICK SUPERBANTAM WEIGHT
KROSS×OVER.26	2024-07-07	遠藤健太郎	林眞平	NOT_MMA	PRO-KICK -62.5kg
KROSS×OVER.26	2024-07-07	朝日彗仁	笠原秋澄	NOT_MMA	PRO-KICK SUPERBANTAM WEIGHT
KROSS×OVER.26	2024-07-07	中澤誠弥	清水俊貴	NOT_MMA	dup
KROSS×OVER.26	2024-07-07	渡部惺	竹中悠獅	NOT_MMA	JUNIOR-MUAYTHAI -54kg
KROSS×OVER.26	2024-07-07	神田賢吾	鈴木力也	NOT_MMA	PRO-KICK
KROSS×OVER.26	2024-07-07	藤本新	左禅丸	NOT_MMA	KICK -77kg
KROSS×OVER.26	2024-07-07	林眞平	遠藤健太郎	NOT_MMA	dup
KROSS×OVER.26	2024-07-07	鈴木力也	神田賢吾	NOT_MMA	dup
KROSS×OVER.26	2024-07-07	堀佑太郎	安田貢志	NOT_MMA	KICK Sクラス -62kg
KROSS×OVER EXTRA.6＆MUAYTHAI FESTA	2025-07-27	鳥居大珠	羅司	NOT_MMA	PRO-KICK BANTAMWEIGHT
KROSS×OVER EXTRA.6＆MUAYTHAI FESTA	2025-07-27	木村太地	加賀丞	NOT_MMA	PRO-KICK HEAVYWEIGHT
KROSS×OVER EXTRA.6＆MUAYTHAI FESTA	2025-07-27	酒井柚樹	HIROKAZU	NOT_MMA	KICK フライ級王座決定T
KROSS×OVER EXTRA.6＆MUAYTHAI FESTA	2025-07-27	福僚太	龍希	NOT_MMA	PRO-KICK -52kg
KROSS×OVER EXTRA.6＆MUAYTHAI FESTA	2025-07-27	優心	コウシ・ノーナクシン	NOT_MMA	PRO-MUAYTHAI FLYWEIGHT
KROSS×OVER EXTRA.6＆MUAYTHAI FESTA	2025-07-27	工藤勇樹	GUNTHER KALUNDA	NOT_MMA	PRO-KICK CRUISERWEIGHT
KROSS×OVER EXTRA.6＆MUAYTHAI FESTA	2025-07-27	羅司	鳥居大珠	NOT_MMA	dup
KROSS×OVER EXTRA.6＆MUAYTHAI FESTA	2025-07-27	龍希	福僚太	NOT_MMA	dup
KROSS×OVER EXTRA.6＆MUAYTHAI FESTA	2025-07-27	コウシ・ノーナクシン	優心	NOT_MMA	dup
KROSS×OVER-CAGE.3	2024-06-16	松本徐倫	AIKO	NOT_MMA	KICK PART GIRLS-KICK -43.5kg
KROSS×OVER-CAGE.3	2024-06-16	渡部惺	藤巻心	NOT_MMA	KICK PART JUNIOR-MUAYTHAI -54kg
KROSS×OVER-CAGE.3	2024-06-16	KENTA	山根武夫	NOT_MMA	KICK PART ヘビー級
KROSS×OVER-CAGE.3	2024-06-16	山根武夫	KENTA	NOT_MMA	dup
KROSS×OVER-CAGE.3	2024-06-16	AIKO	松本徐倫	NOT_MMA	dup
KROSS×OVER-CAGE.7	2025-11-16	白雪ゆき	岩切菜々美	NOT_MMA	KICK PART GIRLS KICKアトム級
KROSS×OVER-CAGE.7	2025-11-16	谷田貝海吏	三橋暖希	NOT_MMA	KICK PART KICK S級
KROSS×OVER-CAGE.7	2025-11-16	小倉えりか	熊谷麻理奈	NOT_MMA	KICK PART GIRLS ムエタイ
KROSS×OVER 10	2020-12-20	冨沢 貴人	眞暢	NOT_MMA	KICK-63kg初代王座決定戦
KROSS×OVER 10	2020-12-20	蘭丸	首藤 賢吾	NOT_MMA	Pro-Kick-56kg
KROSS×OVER 10	2020-12-20	小川悠太	千 翔宇	NOT_MMA	Pro-Kick-63kg
KROSS×OVER 10	2020-12-20	眞暢	冨沢 貴人	NOT_MMA	dup
KROSS×OVER 10	2020-12-20	森本 直哉	桂 英慈	NOT_MMA	Pro-Muaythai-53.5kg
KROSS×OVER 10	2020-12-20	高橋 幸光	安田 学登	NOT_MMA	Pro-Kick-65kg
KROSS×OVER 10	2020-12-20	安田 学登	高橋 幸光	NOT_MMA	dup
KROSS×OVER 10	2020-12-20	中平 卓見	雄人	NOT_MMA	KICK-85kg王座決定戦
KROSS×OVER 10	2020-12-20	藤原あらし	ユウ・ウォーワンチャイ	NOT_MMA	ムエタイバンタム級T決勝
KROSS×OVER 10	2020-12-20	Kiho	亜美	NOT_MMA	Pro-Kick-46.5kg
KROSSxOVER KICK -60kg次期王座挑戦者決定戦	2020-02-23	石月祐作	冨沢貴人	NOT_MMA	Kick -60kg Challenger Bout
KROSSxOVER KICK -60kg次期王座挑戦者決定戦	2020-02-23	冨沢貴人	石月祐作	NOT_MMA	dup
KROSSxOVER KICK -60kg次期王座挑戦者決定戦	2020-02-23	野村勇人	中元優成	NOT_MMA	地域選抜対抗戦ジュニアキック
KROSSxOVER KICK -60kg次期王座挑戦者決定戦	2020-02-23	長谷川豊	藤本新	NOT_MMA	Pro Kickboxing -72kg
KROSSxOVER KICK -60kg次期王座挑戦者決定戦	2020-02-23	塚本望夢	柿崎瑠	NOT_MMA	地域選抜対抗戦ジュニアキック
KROSSxOVER KICK -60kg次期王座挑戦者決定戦	2020-02-23	乙津陸	長谷川海翔	NOT_MMA	-50kgキックタイトル戦
KROSSxOVER KICK -60kg次期王座挑戦者決定戦	2020-02-23	眞暢	宗次郎	NOT_MMA	Pro Kick -63.5kg
KROSSxOVER KICK -60kg次期王座挑戦者決定戦	2020-02-23	長谷川海翔	乙津陸	NOT_MMA	dup
KROSSxOVER KICK -60kg次期王座挑戦者決定戦	2020-02-23	藤本新	長谷川豊	NOT_MMA	dup
KROSSxOVER KICK -60kg次期王座挑戦者決定戦	2020-02-23	中元優成	野村勇人	NOT_MMA	dup
KROSSxOVER KICK -60kg次期王座挑戦者決定戦	2020-02-23	坂本英則	ちゃん	NOT_MMA	Pro Kick Heavyweight
KROSSxOVER KICK -60kg次期王座挑戦者決定戦	2020-02-23	藤原あらし	山口隆弥	NOT_MMA	Pro Kick Muay Thai Rules
KROSSxOVER KICK -60kg次期王座挑戦者決定戦	2020-02-23	AIKO	ピーポー梨乃	NOT_MMA	Pro Kick -42kg
KROSSxOVER.25	2024-03-03	剣夜	實方 拓海	NOT_MMA	Pro-Kick Welterweight
KROSSxOVER.25	2024-03-03	中澤 誠弥	大久保 峻	NOT_MMA	Bantam Weight -53kg
KROSSxOVER.25	2024-03-03	一輝	森本 直哉	NOT_MMA	Superfeather Weight -60kg
KROSSxOVER.25	2024-03-03	渡部 惺	平野 功樹	NOT_MMA	Junior Muay Thai -50kg
KROSSxOVER.25	2024-03-03	針谷 耕	加賀 丞	NOT_MMA	Heavyweight
KROSSxOVER.25	2024-03-03	森本 直哉	一輝	NOT_MMA	dup
KROSSxOVER.25	2024-03-03	智史	熊谷 大輔	NOT_MMA	Kick -59.5kg
KROSSxOVER.25	2024-03-03	HARU	田中 春翔	NOT_MMA	Junior Muay Thai -33kg
【KROSS×OVER-EXTRA.7】試合結果&レポート	2026-07-26	GRAVY未宇	中澤 諒香	NOT_MMA	GIRLS-KICK -48kg
【KROSS×OVER-EXTRA.7】試合結果&レポート	2026-07-26	山元剣心	村上 祐馬	NOT_MMA	KICK FEATHERWEIGHT
【KROSS×OVER-EXTRA.7】試合結果&レポート	2026-07-26	北原 有起	石川 龍之介	NOT_MMA	KICK -61kg
【KROSS×OVER-EXTRA.7】試合結果&レポート	2026-07-26	杉山豪基	嵩史	NOT_MMA	KICK SUPERBANTAMWEIGHT
【KROSS×OVER-EXTRA.7】試合結果&レポート	2026-07-26	佐野 勇海	がやお	NOT_MMA	KICK HEAVYWEIGHT
【KROSS×OVER-EXTRA.7】試合結果&レポート	2026-07-26	綾芽	錦 知沙	NOT_MMA	GIRLS-KICK ATOMWEIGHT
KROSS×OVER 21	2023-04-16	島田知佳	宇野あいり	NOT_MMA	GIRLS KICK -50kg
KROSS×OVER 21	2023-04-16	中平卓見	前田悠	NOT_MMA	KICKヘビー級T準決勝
KROSS×OVER 21	2023-04-16	Uver∞miyU	辻井和花	NOT_MMA	PRO-GIRLSKICK -45kg
KROSS×OVER 21	2023-04-16	宇野あいり	島田知佳	NOT_MMA	dup
KROSS×OVER 21	2023-04-16	チャン	真島達也	NOT_MMA	KICKヘビー級T準決勝
KROSS×OVER 21	2023-04-16	立嶋篤史	松元仁志	NOT_MMA	PRO-MUAYTHAI -57.15kg
KROSSxOVER 9	2020-10-25	足利正和	石月祐作	NOT_MMA	KICK -60kg第2代王座決定戦
KROSSxOVER 9	2020-10-25	高橋幸光	武巳	NOT_MMA	PRO-MUAYTHAI -65kg
KROSSxOVER.22	2023-08-13	荻原愛	華	NOT_MMA	PRO-KICK Women's Flyweight
KROSSxOVER.22	2023-08-13	長谷川豊	大谷真弘	NOT_MMA	PRO-KICK -70kg
KROSSxOVER.22	2023-08-13	森本直哉	小久保裕気	NOT_MMA	PRO-KICK -60kg
KROSSxOVER.22	2023-08-13	足立麻衣子	登島優音	NOT_MMA	PRO-KICK Women's Flyweight tourney
KROSSxOVER.22	2023-08-13	小久保裕気	森本直哉	NOT_MMA	dup
KROSSxOVER.22	2023-08-13	宗雅	直哉	NOT_MMA	PRO-KICK -60kg
KROSSxOVER.22	2023-08-13	今井良次	獅子丸	NOT_MMA	PRO-KICK FEATHERWEIGHT
KROSSxOVER.22	2023-08-13	獅子丸	今井良次	NOT_MMA	dup
KROSSxOVER.22	2023-08-13	HARU	須賀博喜	NOT_MMA	JUNIOR-MUAYTHAI team match
KROSS×OVER 11	2021-03-07	レンタ・ウォーワンチャイ	ラックチャイ・GTジム	NOT_MMA	Pro Muay Thai -61.2kg
KROSS×OVER 11	2021-03-07	塚本望夢	若原快	NOT_MMA	Junior Muay Thai -50kg
KROSS×OVER 11	2021-03-07	梅田将成	ダンナー	NOT_MMA	Pro KICK -55kg
KROSS×OVER 11	2021-03-07	聖也	不動明王岸田	NOT_MMA	Pro KICK -62kg
KROSS×OVER 11	2021-03-07	工藤勇樹	坂本英則	NOT_MMA	KICK Heavyweightタイトル
KROSS×OVER 11	2021-03-07	高橋幸光	我謝真人	NOT_MMA	Pro KICK -65kg
KROSS×OVER 11	2021-03-07	空龍	ダイヤ・ウォーワンチャイ	NOT_MMA	Pro Muay Thai -52kg
KROSS×OVER 11	2021-03-07	藤原あらし	佐藤執斗	NOT_MMA	Pro Muay Thaiタイトル
KROSS×OVER 3	2018-07-01	旭野穂	高橋宏幸	NOT_MMA	Kickboxing -60kgタイトル
KROSS×OVER 3	2018-07-01	冨沢貴人	大出剛生	NOT_MMA	dup
KROSS×OVER 3	2018-07-01	緒方惇	ポッシブルK	NOT_MMA	Kickboxing -65kg
KROSS×OVER 3	2018-07-01	ポッシブルK	緒方惇	NOT_MMA	dup
KROSS×OVER 3	2018-07-01	松谷梛	竹中悠獅	NOT_MMA	ジュニアキックスーパーファイト
KROSS×OVER 3	2018-07-01	中平卓見	瀧川翎	NOT_MMA	Kickboxing -85kg
KROSS×OVER-CAGE.2-	2023-11-26	彪羽	颯馬	NOT_MMA	KICK S-Class -53kg
KROSS×OVER-CAGE.2-	2023-11-26	オカハンバラ	成瀬晴規	NOT_MMA	PRO-KICK WELTERWEIGHT
KROSS×OVER-CAGE.2-	2023-11-26	森本直哉	笠原淳矢	NOT_MMA	PRO-MUAYTHAI -60kg
KROSS×OVER-CAGE.2-	2023-11-26	福井達郎	太田翔一郎	MMA	MMA -62kg (Elbows Allowed)
KROSS×OVER-CAGE.2-	2023-11-26	星野航大	野村リトル知生	NOT_MMA	PRO-KICK BANTAMWEIGHT
KROSS×OVER 1	2021-07-18	武 裕太	小林 啓吾	NOT_MMA	共に立ち技専門選手と確認
KROSS×OVER 1	2021-07-18	辻井和花	宇野 あいり	NOT_MMA	共に立ち技専門選手と確認
KROSS×OVER 1	2021-07-18	緒方 惇	丹内 寛之	INCONCLUSIVE	一次資料に到達できず
KROSS×OVER 1	2021-07-18	森本 直哉	中島 浩之	NOT_MMA	PRO-KICK -57kg
KROSS×OVER 1	2021-07-18	宇野 あいり	辻井 和花	NOT_MMA	dup
KROSS×OVER-EXTRA.4-	2023-07-02	中澤 誠弥	野村リトル知生	NOT_MMA	PRO-KICK -53kg
KROSS×OVER-EXTRA.4-	2023-07-02	大久保 祐	松崎 光輝	NOT_MMA	KICK Sクラス -53kg
KROSS×OVER-EXTRA.4-	2023-07-02	星野 航大	大久保 峻	NOT_MMA	KICK -53kgタイトル挑戦者決定T
KROSS×OVER-EXTRA.4-	2023-07-02	HARU	北野ひなた	NOT_MMA	JUNIOR MUAYTHAI -32.5kg
KROSS×OVER 6	2019-07-07	KAZUNORI	足利 和正	NOT_MMA	PRO-KICK -57kg
KROSS×OVER.31 -SHINJUKU FACE 20th Anniversary-	2025-07-13	純樹	五十嵐 真弥	NOT_MMA	PRO-KICK-69kg
KROSS×OVER.31 -SHINJUKU FACE 20th Anniversary-	2025-07-13	平原 陸	山本 蓮	NOT_MMA	Flyweight Tournament
KROSS×OVER.31 -SHINJUKU FACE 20th Anniversary-	2025-07-13	井樋 大介	野川 寛人	NOT_MMA	PRO-KICK-61kg
KROSS×OVER.31 -SHINJUKU FACE 20th Anniversary-	2025-07-13	大島広也	森本 直哉	NOT_MMA	PRO-KICK-56kg
KROSS×OVER.31 -SHINJUKU FACE 20th Anniversary-	2025-07-13	小西江美香	内藤 未宇	NOT_MMA	GIRLS KICK CUP
KROSS×OVER.31 -SHINJUKU FACE 20th Anniversary-	2025-07-13	彪羽	星 憂雅	NOT_MMA	Bantamweight Title Match
KROSS×OVER.31 -SHINJUKU FACE 20th Anniversary-	2025-07-13	朝日彗仁	中澤 誠弥	NOT_MMA	PRO-KICK-55kg
KROSS×OVER.31 -SHINJUKU FACE 20th Anniversary-	2025-07-13	中澤 誠弥	朝日 彗仁	NOT_MMA	dup
KROSS×OVER.31 -SHINJUKU FACE 20th Anniversary-	2025-07-13	安達 元貴	林 眞平	NOT_MMA	Superfeatherweight Title
KROSS×OVER.31 -SHINJUKU FACE 20th Anniversary-	2025-07-13	北原 有起	倉本 皐聖	NOT_MMA	PRO-KICK-62.5kg
