batch	event	date	fighter	opponent	verdict	evidence_note
0	ONE Friday Fights 156 & Superfan Fights	2026-05-29	吉田晄成	ホアン・ザ・ダイ	NOT_MMA	Sportskeeda: Kickboxing bout, KO R3
0	ONE Friday Fights 17	2023-05-19	デニス・ピューリック	ヨードレックペット・オー・アトチャリア	NOT_MMA	onefc.com: 138lb catchweight Muay Thai bout, TKO R3
0	ONE Friday Fights 37	2023-10-20	内藤大樹	ゴントラニー・ソーソンマイ	NOT_MMA	Sportskeeda: flyweight Muay Thai bout, UD
0	ONE Friday Fights 56	2024-03-22	井原浩之	フルカン・カラバフ	NOT_MMA	onefc.com: 152 LBS Muay Thai, TKO
0	ONE Friday Fights 56	2024-03-22	勝野雅也	ソンラック	NOT_MMA	onefc.com: Flyweight Muay Thai, KO
0	ONE Friday Fights 56	2024-03-22	老沼隆斗	カンレック・ソー・チョーミーチャイ	NOT_MMA	onefc.com: 118 LBS Muay Thai, KO
0	ONE Friday Fights 56	2024-03-22	佐藤執斗	ラック・エラワン	NOT_MMA	onefc.com: 116 LBS Muay Thai, KO R2
0	ONE Friday Fights 69	2024-07-05	大田一航	BM・フェアテックス	NOT_MMA	tapology/sportskeeda: Muay Thai bout, KO R2
0	ONE Friday Fights 84	2024-10-25	ペットサンコム・ソー・ソンマイ	サンデー・ブーンデクシアン	NOT_MMA	onefc.com: 118 LBS Muay Thai, majority decision
0	ONE Friday Fights 84	2024-10-25	笠原友希	ソンラック・シット・ポー・ジョ・ーウォー	NOT_MMA	onefc.com: 134 LBS Muay Thai (dup)
0	ONE Friday Fights 84	2024-10-25	笠原友希	ソンラック	NOT_MMA	same bout, 134 LBS Muay Thai (dup)
0	ONE Friday Fights 84	2024-10-25	笠原友希	ソンラック・フェアテックス	NOT_MMA	same bout, Muay Thai (dup)
0	ONE Friday Fights 96	2025-02-07	陽勇	LeandroMiranda	NOT_MMA	Sportskeeda: flyweight Kickboxing bout, TKO
0	ONE Friday Fights 96	2025-02-07	ドンキング・ヨータラックムエタイ	デンパヤック・デペッシートン	NOT_MMA	tapology/sportskeeda: flyweight Muay Thai bout, KO R1
0	ONE Friday Fights 96	2025-02-07	川野龍輝	ワン・ユハン	NOT_MMA	tapology/sportskeeda: 122lb catchweight Kickboxing bout, UD
0	ONE FridayFights 146	2026-03-13	MISAKI	プリヤワン	NOT_MMA	beyondkick/search: atomweight Kickboxing bout, split decision
0	ONE on TNT I	2021-04-08	チンギス・アラゾフ	エンリコ・ケール	NOT_MMA	tapology/sportskeeda: featherweight Kickboxing bout, split decision
0	ONE: REVOLUTION	2021-09-24	内藤大樹	ペッダム・ペッティンディーアカデミー	NOT_MMA	onefc.com/sportskeeda: Muay Thai bout, split decision
0	ROAD to ONE 3rd：TOKYO FIGHT NIGHT	2020-09-10	有井渚海	黒田直也	NOT_MMA	shooto-mma.com: explicitly キックボクシング match, strawweight
1	ONE 157: Petchmorakot vs. Vienot	2022-05-20	デニス・ピューリック	シャーゾット・カブトフ	NOT_MMA	Wikipedia: Flyweight Muay Thai GP alt bout
1	ONE 157: Petchmorakot vs. Vienot	2022-05-20	内藤大樹	スーパーレック・キアトモー9	NOT_MMA	Wikipedia: Flyweight Muay Thai QF
1	ONE 167: Tawanchai vs. Nattawut II	2024-06-07	デニス・ピューリック	ロッタン・ジットムアンノン	NOT_MMA	Wikipedia card table: Kickboxing, Flyweight
1	ONE 167: Tawanchai vs. Nattawut II	2024-06-07	野杁正明	シッティチャイ・シッソンピーノン	NOT_MMA	Wikipedia card table: Kickboxing, Featherweight
1	ONE Championship 96: Masters of Destiny	2019-07-12	ジョルジオ・ペトロシアン	ペットモラコット・ペッティンディーアカデミー	NOT_MMA	Featherweight Kickboxing World GP QF, UD
1	ONE FIGHT NIGHT 6: SUPERBON VS. ALLAZOV	2023-01-14	チンギス・アラゾフ	スーパーボン	NOT_MMA	onefc.com/wiki: Kickboxing Featherweight title, KO
1	ONE FIGHT NIGHT 6: SUPERBON VS. ALLAZOV	2023-01-14	ダニエル・プエルタス	スーパーレック	NOT_MMA	onefc.com/wiki: Kickboxing Flyweight title, UD
1	ONE Fight Night 17: Kryklia vs. Roberts	2023-12-08	デニス・ピューリック	ニューイェン・トラン・デュイ・ニャット	NOT_MMA	Wikipedia: Muay Thai Flyweight, KO
1	ONE Fight Night 17: Kryklia vs. Roberts	2023-12-08	デニス・ピューリック	ニューイェン・トラン・ドュイ・ニャット	NOT_MMA	same bout (dup)
1	ONE Fight Night 37	2025-11-08	内藤大樹	ナックロップ・フェアテックス	NOT_MMA	Wikipedia: Muay Thai Flyweight, KO R1
1	ONE Friday Fights 10	2023-03-24	柴田真吾	ペットクランナー・シップーヤイニラン	NOT_MMA	Wikipedia: Bantamweight Muay Thai, split decision
1	ONE Friday Fights 110	2025-05-30	スーパー・ヤイ・チャン	瀬戸睦雅	NOT_MMA	onefc.com: Muay Thai, 138 lbs
1	ONE Friday Fights 110	2025-05-30	川野龍輝	フー・イエ	NOT_MMA	onefc.com: Kickboxing, Strawweight
1	ONE Friday Fights 123	2025-09-05	ドンキング・ヨータラックムエタイ	ルスタム・ユヌソフ	NOT_MMA	onefc.com: Muay Thai, Flyweight
1	ONE Friday Fights 123	2025-09-05	小笠原瑛作	サニット	NOT_MMA	onefc.com: Muay Thai, 129 lbs
1	ONE Friday Fights 123	2025-09-05	久井大夢	チャン・チンタオ	NOT_MMA	onefc.com: Muay Thai, 140 lbs
1	ONE Friday Fights 135	2025-11-28	芝宏二郎	シラチャイ・ソー・ジョー・ダンラヨン	NOT_MMA	onefc.com: Kickboxing, Strawweight
1	ONE Friday Fights 146	2026-03-13	所風雅	シェン・イージョウ	NOT_MMA	onefc.com: Kickboxing, Strawweight, UD
1	ONE Friday Fights 157 & The Inner Circle Fights	2026-06-05	大田拓真	ジェイコブ・トンプソン	NOT_MMA	onefc.com: Muay Thai, Flyweight
1	ONE Friday Fights 21	2023-06-16	小川翔	トンサヤーム・ゲッソンリット	NOT_MMA	JP press: 140lb Muay Thai, decision loss
1	ONE Friday Fights 21	2023-06-16	小川翔	トンサヤーム・ルッカオポーロントン	NOT_MMA	onefc.com: Muay Thai, 140 lbs (dup)
1	ONE Friday Fights 38	2023-10-27	北野克樹	ハリル・キュトゥクチュ	NOT_MMA	onefc.com: Muay Thai, Featherweight
1	ONE Friday Fights 58: Superbon vs. Grigorian II	2024-04-05	マラット・グレゴリアン	スーパーボン	NOT_MMA	onefc.com/wiki: Kickboxing, interim featherweight title
1	ONE Friday Fights 58: Superbon vs. Grigorian II	2024-04-05	麻火佑太郎	セクサン・オー・クワンムアン	NOT_MMA	onefc.com: Muay Thai, 142 lbs
1	ONE Friday Fights 58: Superbon vs. Grigorian II	2024-04-05	片島聡志	石井寿来	NOT_MMA	onefc.com: Muay Thai, 122 lbs
1	ONE Friday Fights 72	2024-07-26	安本晴翔	アキフ・グルザダ	NOT_MMA	onefc.com: Kickboxing, 128 lbs
1	ONE Friday Fights 85	2024-11-01	大田拓真	ウェイ・ジーチン	NOT_MMA	onefc.com: Muay Thai, 126 lbs
1	ONE Friday Fights 99	2025-03-07	谷津晴之	ThetPaing Aung	NOT_MMA	onefc.com: Muay Thai, 117 lbs
1	ONE Friday Fights 99	2025-03-07	大田一航	ペットパタヤ・シルクムエタイ	NOT_MMA	onefc.com: Muay Thai, 122 lbs
1	ONE SAMURAI 1	2026-04-29	陽勇	内藤大樹	NOT_MMA	onefc.com: Flyweight Kickboxing
1	ONE SAMURAI 1	2026-04-29	マラット・グレゴリアン	海人	NOT_MMA	onefc.com: Featherweight Kickboxing
1	ONE SAMURAI 1	2026-04-29	海人	マラット・グレゴリアン	NOT_MMA	same bout (dup)
1	ONE SAMURAI 1	2026-04-29	久井大夢	秋元皓貴	NOT_MMA	onefc.com: Bantamweight Kickboxing
1	ONE SAMURAI 1	2026-04-24	久井大夢	秋元皓貴	NOT_MMA	same bout, date variant (dup)
1	ONE SAMURAI 1	2026-04-29	秋元皓貴	久井大夢	NOT_MMA	same bout (dup)
1	ONE SAMURAI 1	2026-04-29	内藤大樹	陽勇	NOT_MMA	same bout (dup)
1	ONE SAMURAI 1	2026-04-29	与座優貴	ジョナサン・ハガティー	NOT_MMA	onefc.com: Bantamweight Kickboxing world title
1	ONE SAMURAI 1	2026-04-29	黒田斗真	田丸辰	NOT_MMA	onefc.com: Strawweight Kickboxing
1	ONE SAMURAI 1	2026-04-29	武尊	ロッタン・ジットムアンノン	NOT_MMA	onefc.com: Interim Flyweight Kickboxing world title
1	ONE SAMURAI 1	2026-04-29	和島大海	リカルド・ブラボ	NOT_MMA	onefc.com: Featherweight Kickboxing
1	ONE SAMURAI 1	2026-04-29	田丸辰	黒田斗真	NOT_MMA	same bout (dup)
1	ONE on TNT III	2021-04-22	ニキー・ホルツケン	ジョン・ウェイン・パー	NOT_MMA	Press: Muay Thai bout, KO R2 head kick
1	ONE: WARRIOR'S CODE	2020-02-07	内藤大樹	サバス・マイケル	NOT_MMA	Tapology: Muay Thai Flyweight, ONE Super Series, UD
1	Road to ONE 2nd	2020-04-17	緑川創	西川大和	NOT_MMA	JP press: explicit ムエタイ match, 72.5kg
3	ONE 159: DE RIDDER VS. BIGDASH	2022-07-22	アスランベック・ジクレーブ	ジャン・ペイメン	NOT_MMA	Wikipedia: Strawweight Kickboxing
3	ONE 171	2025-02-20	ウェイ・ルイ	ジョナサン・ハガティー	NOT_MMA	Wikipedia: Bantamweight Kickboxing, main event
3	ONE 171	2025-02-20	鈴木真治	ジェイク・ピーコック	NOT_MMA	Wikipedia: Bantamweight Muay Thai
3	ONE Championship: A New Era	2019-03-31	秋元皓貴	ジョゼフ・ラシリ	NOT_MMA	Tapology+news: ONE Super Series kickboxing bout
3	ONE FRIDAY FIGHTS 98	2025-02-28	壱・センチャイジム	ルー・イーフー	NOT_MMA	onefc.com: 122lbs Muay Thai
3	ONE Fight Night 21: Eersel vs. Nicolas	2024-04-05	デニス・ピューリック	ジェイコブ・スミス	NOT_MMA	Wikipedia: Flyweight Muay Thai
3	ONE Fight Night 21: Eersel vs. Nicolas	2024-04-05	内藤大樹	デッドゥアンレック	NOT_MMA	Wikipedia: Flyweight Kickboxing
3	ONE Fight Night 3：De Ridder vs. Abdulaev	2022-10-22	内藤大樹	アミール・ナセリ	NOT_MMA	Wikipedia lead card: Muay Thai
3	ONE Friday Fights 101	2025-03-21	柿﨑瑠	エンゾ・クラリス	NOT_MMA	onefc.com: 122lbs Kickboxing
3	ONE Friday Fights 112	2025-06-13	成尾拓輝	チャン・ハイヤン	NOT_MMA	onefc.com: 139lbs Kickboxing
3	ONE Friday Fights 126	2025-09-26	黒田斗真	アダム	NOT_MMA	onefc.com: Atomweight Kickboxing
3	ONE Friday Fights 126	2025-09-26	黒田斗真	アダム・ソー.デチャパン	NOT_MMA	same bout (dup)
3	ONE Friday Fights 138	2026-01-16	チョ・ギョンジェ	将太	NOT_MMA	onefc.com: Bantamweight Kickboxing
3	ONE Friday Fights 138	2026-01-16	将太	チョ・ギョンジェ	NOT_MMA	same bout (dup)
3	ONE Friday Fights 138	2026-01-16	白石舜	アヌアール・シスネロス	NOT_MMA	onefc.com: Flyweight Kickboxing
3	ONE Friday Fights 138	2026-01-16	山﨑一央	ディオゴ・ミゲル・シルバ	NOT_MMA	onefc.com: Flyweight Kickboxing
3	ONE Friday Fights 138	2026-01-16	奥村将真	シェン・イーハン	NOT_MMA	onefc.com: Strawweight Kickboxing
3	ONE Friday Fights 148	2026-03-27	嵐舞	ヴェリハン・パリット	NOT_MMA	onefc.com: Bantamweight Kickboxing
3	ONE Friday Fights 148	2026-03-27	竹添翔太	イーヤン・シェン	NOT_MMA	onefc.com: Strawweight Kickboxing
3	ONE Friday Fights 148	2026-03-27	奥村将真	アドハム・ルジエフ	NOT_MMA	onefc.com: Strawweight Kickboxing
3	ONE Friday Fights 159	2026-06-19	翔	ワリード・サクラジ	NOT_MMA	onefc.com: Flyweight Kickboxing
3	ONE Friday Fights 26	2023-07-21	ペッダム・ペットギャットペット	サクチャイノーイ・MUデン	NOT_MMA	onefc.com: 134lbs Muay Thai
3	ONE Friday Fights 26	2023-07-21	内藤大樹	デッドゥアンレック・ティーデ99	NOT_MMA	onefc.com: Flyweight Muay Thai
3	ONE Friday Fights 41	2023-11-17	アスランベック・ジクレーブ	ビュー・ペットコーソル	NOT_MMA	onefc.com: 126lbs Kickboxing
3	ONE Friday Fights 6	2023-02-24	柴田真吾	ハーキュリス・ウォー・チャクラウット	NOT_MMA	onefc.com: Bantamweight Muay Thai
3	ONE Friday Fights 74	2024-08-09	HIROYUKI	シンサンパー・ルークブンミー	NOT_MMA	onefc.com: Muay Thai 122lbs
3	ONE Friday Fights 74	2024-08-09	繁那	センチャイ・ナーヨックウィットトゥンソン	NOT_MMA	onefc.com: Muay Thai 126lbs
3	ONE Friday Fights 87	2024-11-15	芝宏二郎	ジャマーク・クーパー	NOT_MMA	onefc.com: 120lbs Kickboxing
3	ONE Friday Fights123	2025-09-05	吉田晄成	トヴァン・ノピアン	NOT_MMA	onefc.com: 131lbs Kickboxing
3	ONE SAMURAI 4	2026-10-17	安保瑠輝也	ボグダン・シュマロフ	NOT_MMA	onefc.com news: booked as lightweight kickboxing (future bout)
3	ONE: Big Bang	2020-12-04	マラット・グレゴリアン	イヴァン・コンドラチョフ	NOT_MMA	onefc.com/news: ONE Super Series featherweight kickboxing
3	ONE:IMMORTAL TRIUMPH	2019-09-06	工藤政英	パンパヤック・ジットムアンノン	NOT_MMA	News: Flyweight Kickboxing
3	Road to ONE:4th Young Guns	2021-02-22	有井渚海	平松侑	NOT_MMA	Tapology/Knockdown News: kickboxing bout
4	ONE 162: ZHANG VS. DI BELLA	2022-10-21	ニコラス・ラーセン	ジミー・ビエノ	NOT_MMA	Wikipedia: Featherweight Muay Thai
4	ONE 172: Takeru vs. Rodtang	2025-03-23	龍聖	スリヤンレック・ポー・イェンイン	NOT_MMA	Wikipedia: catchweight Kickboxing, UD
4	ONE Championship: Fists Of Fury	2021-02-26	秋元皓貴	ジャン・チェンロン	NOT_MMA	bantamweight kickboxing affair
4	ONE FRIDAY FIGHTS119	2025-08-08	奥山雅仁	ジェンギズ・ラーレ	NOT_MMA	onefc.com/YouTube: kickboxing bantamweight, TKO R3
4	ONE Fight Night 22: Sundell vs. Diachkova	2024-05-03	ウェイ・ルイ	秋元皓貴	NOT_MMA	Wikipedia: Bantamweight Kickboxing
4	ONE Fight Night 41: シンサムット vs. ジャービス	2026-03-14	陽勇	スーブラック・トー・プラン49	NOT_MMA	onefc.com: flyweight kickboxing, TKO R1
4	ONE Friday Fights 103	2025-04-04	小桐冬華	ロー・チーチェン	NOT_MMA	Tapology: Kickboxing atomweight, UD
4	ONE Friday Fights 113	2025-06-20	ドンキング・ヨータラックムエタイ	ヨードレックペット・オー・アトチャリア	NOT_MMA	Tapology: Muay Thai, KO R1
4	ONE Friday Fights 128	2025-10-10	山﨑一央	アブデルハミッド・タルビ	NOT_MMA	onefc.com: kickboxing flyweight, UD
4	ONE Friday Fights 139	2026-01-23	鈴木宙樹	ガブリエル・ペレイラ	NOT_MMA	Tapology: Kickboxing, majority decision
4	ONE Friday Fights 139	2026-01-23	門口佳佑	ジャオ・ジェンドン	NOT_MMA	onefc.com: strawweight kickboxing, TKO R3
4	ONE Friday Fights 149	2026-04-03	指田烈	イザヤ・バダト	NOT_MMA	Kickboxing Flyweight, KO R1
4	ONE Friday Fights 149	2026-04-03	ブラックシーサー颯太朗	デルファン・ドゥイ・サトリオ	NOT_MMA	kickboxing atomweight, UD
4	ONE Friday Fights 149	2026-04-03	大田一航	パヤクルト	NOT_MMA	Tapology: Muay Thai strawweight, KO R3
4	ONE Friday Fights 162 & The Inner Circle	2026-07-17	大森隆之介	アリ・アル＝キナニ	NOT_MMA	Tapology: Muay Thai strawweight, UD
4	ONE Friday Fights 162 & The Inner Circle	2026-07-17	与座優貴	ベン・ウーリス	NOT_MMA	onefc.com: kickboxing bout, UD
4	ONE Friday Fights 30	2023-08-25	リカルド・ブラボ	デンパノム・プラン26	NOT_MMA	Tapology: Muay Thai catchweight, KO R2
4	ONE Friday Fights 30	2023-08-25	小笠原瑛作	ヨッドウィッタヤ・ペッチョンプー	NOT_MMA	Muay Thai catchweight, KO R1
4	ONE Friday Fights 30	2023-08-25	小川翔	ペットガーフィールド・ジットムアンノン	NOT_MMA	onefc.com: Muay Thai Classic, UD
4	ONE Friday Fights 30	2023-08-25	小川翔	ペットガーフィールド	NOT_MMA	same bout (dup)
4	ONE Friday Fights 46: Tawanchai vs. Superbon	2023-12-22	小笠原瑛作	チョーファー・トー・センティアンノーイ	NOT_MMA	Tapology: Muay Thai catchweight, KO R2
4	ONE Friday Fights 60	2024-04-26	小笠原瑛作	ソーンスックノーイ	NOT_MMA	Tapology: Muay Thai, majority decision
4	ONE Friday Fights 60	2024-04-26	デニス・デミルカプ	スアキム	NOT_MMA	Tapology: Muay Thai catchweight, KO R2
4	ONE Friday Fights 75	2024-08-16	大田拓真	ブラジル	NOT_MMA	Tapology: Muay Thai catchweight, split decision
4	ONE Friday Fights 89	2024-11-29	辻井和奏	タンタン	NOT_MMA	Tapology: Muay Thai atomweight, UD
4	ONE Friday Fights143	2026-02-20	翔真	マイケル・バラノフ	NOT_MMA	featherweight kickboxing, KO R3
4	ONE SUPER SERIES	2019-09-01	廣野祐	内村洋二郎	NOT_MMA	mmaplanet.jp: featherweight kickboxing, KO R2
4	ONE: CONQUEST OF CHAMPIONS	2018-11-23	鈴木博昭	デイヴィダス・ダニラ	NOT_MMA	onefc.com/search: bantamweight kickboxing, UD
4	ONE:MASTERS OF DESTINY	2019-07-12	森本"狂犬"義久	ジョシュ・トナー	NOT_MMA	Tapology: Kickboxing, UD
4	Road to ONE:CENTURY	2019-09-01	廣野祐	内村洋次郎	NOT_MMA	same bout as ONE SUPER SERIES row (dup, event name variant)
4	Road to ONE:CENTURY	2019-09-01	内藤大樹	渡辺優太	NOT_MMA	Tapology/mmaplanet.jp: Muay Thai flyweight, KO R1
5	ONE 162: Zhang vs. Di Bella	2022-10-21	デニス・ピューリック	タギール・カリロフ	NOT_MMA	onefc.com/tapology: Muay Thai bout, UD
5	ONE 172: 武尊 VS ロッタン	2025-03-23	陽勇	ザカリア・ジャマリ	NOT_MMA	Tapology: Kickboxing Bout, KO by knee R1
5	ONE 172: 武尊 VS ロッタン	2025-03-23	KANA	ペッディージャー	NOT_MMA	Kickboxing title bout vs Phetjeeja, UD
5	ONE 172: 武尊 VS ロッタン	2025-03-23	秋元皓貴	ジョン・リネカー	NOT_MMA	bantamweight kickboxing, split decision
5	ONE 172: 武尊 VS ロッタン	2025-03-23	武尊	ロッタン・ジットムアンノン	NOT_MMA	main event flyweight kickboxing, KO
5	ONE 172: 武尊 VS ロッタン	2025-03-23	野杁正明	タワンチャイ・PK・センチャイ	NOT_MMA	interim featherweight kickboxing title, TKO
5	ONE Championship: Hero's Ascent	2019-01-25	秋元皓貴	ジョシュ・トナー	NOT_MMA	flyweight kickboxing bout, UD
5	ONE FRIDAY FIGHTS64	2024-05-24	弘・センチャイジム	ジョハン・エストゥピニャン	NOT_MMA	Tapology: Muay Thai Bout, KO
5	ONE Fight Night 24: Brooks vs. Balart	2024-08-02	エリアス・マムーディ	内藤大樹	NOT_MMA	Tapology: Kickboxing Bout, KO spinning backfist
5	ONE Fight Night 24: Brooks vs. Balart	2024-08-02	内藤大樹	エリアス・マムーディ	NOT_MMA	same bout (dup)
5	ONE Fight Night 44	2026-06-27	鈴木真治	フェラーリ・フェアテックス	NOT_MMA	Tapology: Muay Thai Bout, UD
5	ONE Friday Fights 104	2025-04-11	成尾拓輝	アルベウ・ダ・シウバ	NOT_MMA	kickboxing catchweight, TKO R1
5	ONE Friday Fights 116	2025-07-18	谷津晴之	アイザック・モハメッド	NOT_MMA	Tapology: Muay Thai Bout, KO R1
5	ONE Friday Fights 116	2025-07-18	与座優貴	ペッタノン・ペットファーガス	NOT_MMA	onefc.com: kickboxing, UD
5	ONE Friday Fights 129	2025-10-17	谷津晴之	ハー・リン・オム	NOT_MMA	Tapology: Muay Thai Bout, UD
5	ONE Friday Fights 140	2026-01-30	嵐舞	チャラムカオ	NOT_MMA	bantamweight kickboxing, KO R3
5	ONE Friday Fights 140	2026-01-30	成尾拓輝	チェン・ジャーイー	NOT_MMA	Tapology: Kickboxing Bout, KO R3
5	ONE Friday Fights 140	2026-01-30	指田烈	ダニラ・バシリヒン	NOT_MMA	boutreview.com: flyweight kickboxing, KO R2
5	ONE Friday Fights 150	2026-04-10	吉田晄成	ホアン・ジェンバン	NOT_MMA	Tapology: Kickboxing Bout, UD
5	ONE Friday Fights 150	2026-04-10	山﨑一央	ホン・チェンジー	NOT_MMA	Tapology: Kickboxing Bout, KO R1
5	ONE Friday Fights 163	2026-07-24	那須川龍心	トンプーン・PK・センチャイ	NOT_MMA	Kickboxing Bout, TKO R2
5	ONE Friday Fights 32	2023-09-08	大田拓真	ジェルテ・ブロマート	NOT_MMA	Muay Thai catchweight bout, UD
5	ONE Friday Fights 32	2023-09-08	鈴木真治	スーブラック・トー・プラン49	NOT_MMA	Tapology: Muay Thai Bout, KO R2
5	ONE Friday Fights 47	2024-01-12	小川翔	ヌンパンニャー・イーグルムエタイ	NOT_MMA	Tapology: Muay Thai 140lb, TKO R2 elbow
5	ONE Friday Fights 62	2024-05-10	安本晴翔	テミルラン・ベクムルザエフ	NOT_MMA	gonkaku.jp: explicit キックボクシング flyweight, decision 3-0
5	ONE Friday Fights 62	2024-05-10	森岡悠樹	ペイマン・ゾルファガリ	NOT_MMA	boutreview/gonkaku: Muay Thai, KO R1
5	ONE Friday Fights 77	2024-08-30	スーパー・ヤイ・チャン	スーティン・リンムエタイ	NOT_MMA	Tapology: Muay Thai Bout, split decision
5	ONE Friday Fights 91	2024-12-13	HIROYUKI	パデッスク	NOT_MMA	Tapology: Muay Thai 122lb catchweight
5	ONE Friday Fights１１０	2025-05-30	スーパー・ヤイ・チャン	睦雅	NOT_MMA	Tapology: Muay Thai Bout, UD
5	ONE WARRIOR SERIES	2019-10-05	有井渚海	レイ	NOT_MMA	efight/boutreview: 55kg kickboxing 8oz gloves, TKO R3
5	ONE WARRIOR SERIES	2019-10-05	Little Tiger	サンドラ・ゴドヴィク	NOT_MMA	Tapology: Muay Thai Bout, decision
5	ONE: FULL BLAST II	2021-06-11	内藤大樹	ワン・ウェンフェン	NOT_MMA	shootboxing.org: ONE kickboxing rules, decision
5	ONE：DAWN OF VALOR	2019-10-25	内藤大樹	アレクシ・セレピソス	NOT_MMA	onefc.com/efight: ムエタイフライ級, TKO R3
5	Road to ONE：2nd sponsored by ABEMA	2020-04-17	HIROYUKI	ポン	NOT_MMA	boutreview: Muay Thai strawweight, TKO R2
6	ONE 163 Akimoto vs. Petchtanong	2022-11-19	秋元皓貴	ペッタノン・ペットフォーガス	NOT_MMA	onefc.com: Bantamweight Kickboxing world title, split decision
6	ONE 173	2025-11-16	ウェイ・ルイ	秋元皓貴	NOT_MMA	Wikipedia: Bantamweight Kickboxing
6	ONE 173	2025-11-16	KANA	スタンプ	NOT_MMA	Wikipedia: Women's Atomweight Kickboxing
6	ONE 173	2025-11-16	マラット・グレゴリアン	安保瑠輝也	NOT_MMA	Wikipedia: Featherweight Kickboxing
6	ONE 173	2025-11-16	安保瑠輝也	マラット・グレゴリアン	NOT_MMA	same bout (dup)
6	ONE 173	2025-11-16	デニス・ピューリック	武尊	NOT_MMA	Wikipedia: Flyweight Kickboxing, TKO
6	ONE 173	2025-11-16	秋元皓貴	ウェイ・ルイ	NOT_MMA	same bout (dup)
6	ONE 173	2025-11-16	与座優貴	スーパーレック	NOT_MMA	Wikipedia: Bantamweight Kickboxing
6	ONE 173	2025-11-16	武尊	デニス・ピューリック	NOT_MMA	same bout (dup)
6	ONE 173	2025-11-16	野杁正明	スーパーボン	NOT_MMA	Wikipedia: Featherweight Kickboxing unification
6	ONE 173	2025-11-16	和島大海	ナビル・アナン	NOT_MMA	Wikipedia: Featherweight Kickboxing
6	ONE Championship: Mark Of Greatness	2019-12-09	ワン・ジュングァン	サムエー・ガイヤーンハーダオ	NOT_MMA	onefc.com: ONE Strawweight Kickboxing world title
6	ONE Fight Fight 26	None	デニス・ピューリック	エリアス・マムーディ	NOT_MMA	actual ONE Fight Night 26, catchweight Muay Thai, NC after doping
6	ONE Fight Night 25: Brooks vs. Balart	2024-08-03	内藤大樹	エリアス・マムーディ	NOT_MMA	flyweight kickboxing (event mislabeled, actually FN24)
6	ONE Fight Night 46	2026-08-15	KANA	ユー・ヨウ・プイ	NOT_MMA	onefc.com: atomweight kickboxing, UD
6	ONE Friday Fights 105	2025-04-18	手塚翔太	アリズワン・ノルシャーニー	NOT_MMA	onefc.com: 137 LBS Muay Thai
6	ONE Friday Fights 117	2025-07-25	髙橋聖人	ウザイル・イスモイルジャノフ	NOT_MMA	onefc.com: Bantamweight Kickboxing
6	ONE Friday Fights 13	2023-04-21	アスランベック・ジクレーブ	ハーキュリス・ウォー・チャクラウット	NOT_MMA	onefc.com: Bantamweight Muay Thai
6	ONE Friday Fights 141	2026-02-06	谷津晴之	リン・テット・アウン	NOT_MMA	onefc.com: Strawweight Muay Thai
